Ranking,Name,Team,PM,Sav.,GC,Pen.R,PSO.R
1,José Segovia,Jijantes FC,14,113,40,1,4
2,Víctor Vidal,Ultimate Móstoles,12,84,34,3,4
3,Alberto Arnalot,1K FC,11,81,51,1,3
4,Marc Briones,PIO FC,11,72,37,1,1
5,Manuel Martín,Los Troncos FC,12,65,35,0,0
6,Dani Pérez,Saiyans FC,10,64,36,2,4
7,Adrià 'Capi' Gutiérrez,xBuyer Team,12,58,27,0,5
7,Gerard Vacas,El Barrio,12,58,50,2,0
9,Eloy Amoedo,Aniquiladores FC,9,46,28,0,1
10,Víctor Cócera,Kunisports,10,45,21,1,2
11,Pol Lechuga,Rayo de Barcelona,11,43,26,0,2
12,Rafa Leva,Rayo de Barcelona,11,38,14,1,3
13,Jorge Ibáñez,Porcinos FC,7,36,18,4,0
14,Álex Romero,xBuyer Team,7,35,15,0,1
15,Hugo Eyre,Porcinos FC,8,34,18,0,2
16,Sergi Aguilar,Kunisports,6,30,19,0,2
16,Nacho Berché,Aniquiladores FC,7,30,22,0,0
18,Iván Fajardo,Saiyans FC,3,26,10,1,5
19,Josep Corderas,El Barrio,4,8,2,0,1
19,Enric Avellaneda,PIO FC,3,8,12,0,0
21,Mario León,Jijantes FC,3,6,1,0,0
22,Pol Zapata,Aniquiladores FC,3,5,0,0,1
23,Pol Agustí,Los Troncos FC,3,4,3,1,0
24,Miguel Ángel de la Fuente,Ultimate Móstoles,1,3,3,0,0
