Ranking,Name,Team,PM,MVP
1,Gilles Vidal,El Barrio,12,6
2,Cristian Ubón,Ultimate Móstoles,12,4
2,Marc Pelaz,Jijantes FC,14,4
4,Marc Granero,1K FC,11,3
4,Fuad El Amrani,xBuyer Team,14,3
4,Víctor Vidal,Ultimate Móstoles,12,3
7,José Segovia,Jijantes FC,14,2
7,Pablo Beguer,Jijantes FC,13,2
7,Carles Planas,Los Troncos FC,10,2
7,Joan Verdú,Los Troncos FC,12,2
7,Franky Purtí,Rayo de Barcelona,11,2
7,Àlex Gutiérrez,Porcinos FC,12,2
7,Javi Espinosa,Aniquiladores FC,13,2
7,Nadir Louah,Porcinos FC,10,2
7,Jero Martín,PIO FC,11,2
7,Nico Santos,Porcinos FC,11,2
7,Adrián Espinar,Jijantes FC,14,2
7,Aridai Cabrera,PIO FC,9,2
19,Marc Briones,PIO FC,11,1
19,Gio Ferinu,Saiyans FC,11,1
19,Pol Lechuga,Rayo de Barcelona,11,1
19,Carlos Val,Kunisports,11,1
19,Guillem 'ZZ' Ruiz,Aniquiladores FC,13,1
19,Mario Reyes,Aniquiladores FC,12,1
19,Adrià 'Capi' Gutiérrez,xBuyer Team,12,1
19,Carlos Torrentbó,Kunisports,10,1
19,Ferran Corominas,Ultimate Móstoles,11,1
19,Mark Sorroche,Los Troncos FC,12,1
19,Fran Hernández,Aniquiladores FC,13,1
19,Hugo Fraile,Aniquiladores FC,13,1
19,Iván Pérez,Kunisports,11,1
19,Diego de la Mata,Ultimate Móstoles,12,1
19,Fernando Velillas,Jijantes FC,14,1
19,Dani Liñares,Saiyans FC,11,1
19,Gerard Nolla,Porcinos FC,10,1
19,Víctor Oribe,xBuyer Team,10,1
19,Eloy Amoedo,Aniquiladores FC,9,1
19,Kelvin Oliveira,Porcinos FC,2,1
19,Aleix Hernando,Porcinos FC,12,1
19,Joan Luque,Porcinos FC,6,1
19,Rafa Leva,Rayo de Barcelona,11,1
19,Luis García,Jijantes FC,10,1
19,Yuri de Souza,Rayo de Barcelona,11,1
