Ranking,Name,Team,PM,MVP
1,Cristian Ubón,El Barrio,12,6
2,Jero Martín,Saiyans FC,12,5
2,Víctor Vidal,Jijantes FC,12,5
4,Edgar Álvaro,Aniquiladores FC,13,4
4,Carles Planas,Los Troncos FC,11,4
6,Gabriel Cichero,Kunisports,12,3
6,Marc Pelaz,Porcinos FC,12,3
6,Marc Granero,Ultimate Móstoles,14,3
6,Facu Romero,Kunisports,10,3
10,Marc Briones,Saiyans FC,12,2
10,Pablo Beguer,xBuyer Team,12,2
10,Àlex Gutiérrez,Los Troncos FC,7,2
10,Víctor Cócera,Aniquiladores FC,11,2
10,Nil Ayats,Jijantes FC,9,2
10,Jordi Gómez,Los Troncos FC,9,2
16,José Segovia,Ultimate Móstoles,13,1
16,Feliu Torrus,1K FC,12,1
16,Gilles Vidal,Porcinos FC,6,1
16,Pol Zapata,Kunisports,8,1
16,Pol Lechuga,1K FC,12,1
16,Joan Verdú,Los Troncos FC,11,1
16,Carlos Val,Aniquiladores FC,13,1
16,Joan Canet,Ultimate Móstoles,10,1
16,Juanma González,xBuyer Team,10,1
16,Javi Espinosa,Aniquiladores FC,13,1
16,Fuad El Amrani,xBuyer Team,12,1
16,Carlos Corvo,1K FC,5,1
16,Diego de la Mata,Ultimate Móstoles,14,1
16,Gerard Verge,1K FC,4,1
16,Aitor Vives,Saiyans FC,11,1
16,Víctor Oribe,xBuyer Team,12,1
16,Dani 'Mini Bartu' Ruiz,Kunisports,12,1
16,Aleix Martí,Rayo de Barcelona,10,1
16,Eloy Amoedo,Los Troncos FC,11,1
16,Nico Santos,1K FC,11,1
16,Pablo Fernández,PIO FC,11,1
16,Pol Ortega,Jijantes FC,12,1
16,Gerard Oliva,Rayo de Barcelona,11,1
16,Dani Parra,PIO FC,7,1
