Ranking,Name,Team,PM,S,ST,SW
49,Feliu Torrus,Ultimate Móstoles,14,18,11,2
49,Aleix Lage,Ultimate Móstoles,14,18,12,0
49,Gerard 'Hulk' Artigas,Porcinos FC,7,18,14,0
49,Pablo Fernández,Saiyans FC,14,18,8,0
49,Carlos Ferres,Los Troncos FC,13,18,13,1
54,Oriol Boada,El Barrio,7,17,11,0
54,Martín Mantovani,Saiyans FC,14,17,10,2
54,Augusto Fernández,Saiyans FC,13,17,7,0
54,Dani Martí,Ultimate Móstoles,14,17,6,1
58,Mario Reyes,Aniquiladores FC,12,16,7,0
58,Iñaki Villalba,Kunisports,12,16,9,2
58,Sergio Juste,Jijantes FC,13,16,6,2
61,Víctor Oribe,PIO FC,5,15,10,1
62,Alfons Serra,Saiyans FC,14,14,7,0
62,Nico Santos,Porcinos FC,13,14,11,1
62,Marc Valiente,El Barrio,12,14,7,0
65,Kilian Honorato,Ultimate Móstoles,13,13,8,1
65,Gio Ferinu,Saiyans FC,14,13,7,0
65,Ian González,Los Troncos FC,12,13,5,0
65,Nico Pareja,Kunisports,8,13,4,1
65,Nil Ayats,Jijantes FC,10,13,9,0
65,Isaac Maldonado,Rayo de Barcelona,7,13,11,1
65,Víctor Vidal,Ultimate Móstoles,14,13,5,0
65,Óscar Contreras,Rayo de Barcelona,11,13,7,0
65,Adrián Frutos,Jijantes FC,13,13,4,1
74,David Alba,Aniquiladores FC,12,12,8,0
74,David Cárdenas,Porcinos FC,13,12,10,0
74,John de la Cruz,1K FC,11,12,10,0
77,Flavio Ruggeri,PIO FC,11,11,5,1
77,Marc Torrejón,PIO FC,11,11,3,0
77,Jandro Megía,PIO FC,9,11,6,0
77,Albert Ruiz,1K FC,10,11,4,1
77,Adrián Espinar,Jijantes FC,13,11,6,0
77,Iker Alcarazo,xBuyer Team,13,11,9,1
83,Daniel Pérez,xBuyer Team,13,10,4,0
83,Raúl Ledo,1K FC,12,10,7,0
83,Aleix Martí,Ultimate Móstoles,14,10,8,0
83,Iker González,El Barrio,12,10,2,0
83,Pol Román,Rayo de Barcelona,11,10,5,0
83,Sergi Cabré,Jijantes FC,13,10,8,0
83,Brian Quijada,Los Troncos FC,3,10,8,0
90,Bernat Rovira,Aniquiladores FC,12,9,5,0
90,Jacobo Liencres,Porcinos FC,13,9,6,0
90,David Soriano,Porcinos FC,13,9,3,1
90,Pau Fernández,El Barrio,12,9,3,0
90,Carlos Torrentbó,Kunisports,6,9,3,1
95,José Segovia,Jijantes FC,13,8,6,1
95,Carlos Val,Kunisports,12,8,3,0
95,Daniel Santiago,Rayo de Barcelona,11,8,1,1
95,Diego de la Mata,Ultimate Móstoles,2,8,2,1
95,Iván Mateo,1K FC,8,8,4,0
95,Pere Martínez,xBuyer Team,8,8,4,0
95,Marc Jiménez,Aniquiladores FC,6,8,5,0
102,Jordi Ros,Aniquiladores FC,12,7,4,1
102,Pol Lechuga,Rayo de Barcelona,9,7,4,1
102,Joel Bañuls,Ultimate Móstoles,14,7,3,0
102,Joan Inés,Kunisports,9,7,4,0
102,Adri Gimeno,xBuyer Team,4,7,5,0
102,Jordi Martínez,Kunisports,9,7,4,0
108,Pau 'ZZ' Ruiz,El Barrio,11,6,4,0
108,Joel Macarulla,Aniquiladores FC,12,6,2,1
108,Josep Corderas,Los Troncos FC,10,6,3,0
108,Alberto Bueno,Ultimate Móstoles,2,6,2,1
108,Eloy Pizarro,Ultimate Móstoles,7,6,2,0
108,Álex Romero,xBuyer Team,10,6,3,0
108,Fernando Llorente,Ultimate Móstoles,3,6,3,0
116,Pol Zapata,Aniquiladores FC,12,5,2,0
116,Jorge Ibáñez,PIO FC,11,5,3,0
116,Uri Pons,Jijantes FC,8,5,4,0
116,Antoni Hernández,xBuyer Team,6,5,4,0
116,Vicenç Oromí,Los Troncos FC,12,5,3,1
116,Adrià Escribano,Kunisports,12,5,2,1
116,Alberto García,Saiyans FC,2,5,3,1
116,Manuel Agudo 'Nolito',Kunisports,2,5,4,0
126,Marc Briones,Porcinos FC,9,4,1,0
126,Dani Pérez,Saiyans FC,14,4,1,0
126,Sergio Sánchez,Los Troncos FC,13,4,1,0
126,Aarón Ropero,PIO FC,11,4,1,1
126,Víctor Cócera,Kunisports,9,4,2,1
126,David López,Saiyans FC,4,4,4,0
126,David Barral,Saiyans FC,2,4,2,0
126,Emiliano Armenteros,Kunisports,2,4,2,0
126,Alberto Arnalot,1K FC,12,4,0,0
126,Godbless Eribo,Porcinos FC,10,4,4,0
126,Hichem Boumedol,Aniquiladores FC,7,4,2,1
126,David Garcia,PIO FC,3,4,3,0
126,Fran Rodríguez,1K FC,5,4,1,0
126,Joel Paredes,Rayo de Barcelona,2,4,2,1
140,Joselete Blanco,Rayo de Barcelona,5,3,0,0
140,Aleix Massegú,Ultimate Móstoles,5,3,3,0
140,Lucca Ribeiro,Saiyans FC,7,3,0,0
140,Marcos Guerrero,1K FC,6,3,2,1
140,Oscar Rivero,PIO FC,8,3,2,0
140,Pablo Zabaleta,Kunisports,1,3,0,0
140,Jan Coca,PIO FC,7,3,2,1
140,Lasha L. Macharashvili,PIO FC,7,3,2,0
140,Jordi Abelló,Kunisports,4,3,3,0
140,Iván Dionisio,xBuyer Team,4,3,0,0
140,David Gallego,Saiyans FC,1,3,2,0
140,Iván de Nova,Porcinos FC,1,3,1,0
153,Marc Galvany,Saiyans FC,11,2,1,0
153,Sergio García,Los Troncos FC,1,2,1,0
153,Manuel Martín,Los Troncos FC,5,2,1,0
153,Gerard Vacas,El Barrio,12,2,1,0
153,Xavi Boniquet,Porcinos FC,2,2,1,1
153,Imad El Kabbou,Jijantes FC,2,2,0,0
153,Fran Fuentes,El Barrio,4,2,1,0
153,Cristian Delgado,Rayo de Barcelona,2,2,2,0
163,Sergi Aguilar,Kunisports,6,1,1,0
163,Pau Mañé,Kunisports,1,1,1,0
163,Roger de la Villa,xBuyer Team,5,1,0,0
163,Iker López,El Barrio,2,1,1,0
163,Xavi Liébanas,El Barrio,4,1,0,0
163,Pau Llastarry,xBuyer Team,10,1,0,1
163,Álex Cubedo,Los Troncos FC,8,1,1,0
163,David Sánchez,Jijantes FC,9,1,1,0
163,Diego Fernández,1K FC,3,1,1,0
163,Adrià Parra,Kunisports,1,1,1,0
163,Daniel Quesada,Rayo de Barcelona,1,1,1,0
163,José Manuel Fontcuberta,El Barrio,1,1,1,0
