Ranking,Name,Team,PM,S,ST,SW
1,Marc Granero,1K FC,12,76,46,1
2,Jordi Gómez,Kunisports,12,59,33,4
3,Edgar Álvaro,Los Troncos FC,13,58,39,2
3,Nadir Louah,Porcinos FC,13,58,35,1
5,Dani Liñares,Saiyans FC,14,55,43,1
6,Pablo Hernández,Porcinos FC,11,54,30,1
7,Nando Quesada,Jijantes FC,13,53,25,2
8,Fernando Velillas,xBuyer Team,13,49,28,1
9,Marc Pelaz,Jijantes FC,13,47,33,3
9,Óscar Coll,Porcinos FC,13,47,28,1
11,Cristian Ubón,Ultimate Móstoles,14,46,34,2
12,Pablo Beguer,xBuyer Team,12,45,31,0
12,Joan Verdú,Los Troncos FC,12,45,28,1
14,Gilles Vidal,El Barrio,12,44,31,2
15,Álvaro Arché,El Barrio,12,42,25,2
16,Javi Espinosa,Aniquiladores FC,12,37,24,1
17,Dani 'Mini Bartu' Ruiz,PIO FC,11,33,18,4
18,Jero Martín,Saiyans FC,11,32,18,0
19,Joan Poch,Rayo de Barcelona,9,31,14,1
20,Ferran Corominas,Ultimate Móstoles,14,30,18,2
20,Iván Pérez,Kunisports,12,30,22,2
20,Carlos Contreras,Jijantes FC,12,30,17,1
20,Alberto de la Bella,Ultimate Móstoles,13,30,18,1
24,Aitor Vives,Los Troncos FC,13,29,17,0
25,Alejandro Ortega,Aniquiladores FC,9,28,19,2
26,Víctor Mongil,Aniquiladores FC,11,27,12,0
27,Carles Planas,Los Troncos FC,13,26,12,1
27,Carlos Omabegho,PIO FC,11,26,18,1
27,José 'Casi' Ruiz,Aniquiladores FC,12,26,15,1
30,Roger Carbó,xBuyer Team,8,25,17,1
30,Mark Sorroche,Los Troncos FC,13,25,17,3
32,Lluís Alsina,1K FC,10,24,16,0
32,Franky Purtí,Rayo de Barcelona,11,24,16,0
32,Juanma González,xBuyer Team,11,24,12,1
32,Gerard Nolla,El Barrio,10,24,17,0
36,Abraham González,1K FC,12,23,10,2
37,Iván López 'Cokita',PIO FC,11,22,17,1
37,Fuad El Amrani,xBuyer Team,5,22,14,1
37,Albert Dalmau,1K FC,12,22,14,0
40,Román Alegre,Rayo de Barcelona,10,21,10,2
40,Hugo Fraile,Rayo de Barcelona,11,21,14,0
40,Sergi Gestí,Saiyans FC,14,21,13,1
43,Marc Pluvins,1K FC,12,20,13,1
43,Eric Jiménez,Rayo de Barcelona,6,20,13,0
43,Alberto Lopo,PIO FC,9,20,14,0
43,Gabriel Vidal,El Barrio,12,20,8,3
47,Guillem 'ZZ' Ruiz,Aniquiladores FC,12,19,13,0
47,Àlex Gutiérrez,Porcinos FC,10,19,12,1
