Ranking,Name,Team,PM,S,ST,SW
1,Fran Hernández,Aniquiladores FC,10,78,36,5
2,Roger Carbó,xBuyer Team,13,73,45,2
3,Marc Granero,1K FC,13,61,37,4
3,Hugo Fraile,Porcinos FC,12,61,34,3
5,Cristian Ubón,Ultimate Móstoles,12,59,40,0
5,Fernando Velillas,xBuyer Team,14,59,33,4
7,Marc Pelaz,Los Troncos FC,11,58,44,2
8,Pablo Beguer,xBuyer Team,14,57,32,2
8,Nando Quesada,Jijantes FC,11,57,28,7
10,Nadir Louah,Aniquiladores FC,13,53,27,3
11,Gilles Vidal,El Barrio,14,51,34,2
12,Joan Verdú,Los Troncos FC,10,50,32,1
13,Iñaki Villalba,Kunisports,12,48,26,1
14,Álvaro Arché,El Barrio,14,46,29,1
14,Alberto Bueno,Porcinos FC,12,46,23,2
14,Carlos Corvo,PIO FC,12,46,27,4
17,David Barral,1K FC,11,43,25,4
18,Lluís Alsina,1K FC,13,40,18,2
18,Alberto Lopo,PIO FC,11,40,20,2
20,Joan Poch,Saiyans FC,12,38,19,1
20,Ferran Corominas,Kunisports,12,38,31,0
20,Eric Jiménez,Rayo de Barcelona,11,38,20,0
23,Edgar Álvaro,Rayo de Barcelona,10,34,20,2
23,Tom Diawara,Jijantes FC,9,34,22,1
25,Javi Espinosa,Porcinos FC,12,33,20,4
26,Víctor Mongil,Rayo de Barcelona,11,32,13,1
27,Mario Reyes,Aniquiladores FC,13,29,12,1
27,Mark Sorroche,Los Troncos FC,11,29,21,0
27,Marc Pluvins,PIO FC,12,29,18,0
27,David López,Saiyans FC,13,29,13,1
27,Gerard Verge,Ultimate Móstoles,9,29,15,1
32,David López,Jijantes FC,12,27,18,1
32,Joan Inés,Kunisports,12,27,12,2
34,Oriol Boada,Saiyans FC,13,26,13,1
34,Nico Pareja,El Barrio,12,26,14,1
36,Jacobo Liencres,Porcinos FC,12,25,16,0
37,Uri Pons,Jijantes FC,13,24,13,0
37,Adri Gimeno,xBuyer Team,14,24,15,1
37,Víctor Oribe,Saiyans FC,6,24,16,1
40,Guillem 'ZZ' Ruiz,Aniquiladores FC,13,23,15,3
40,Juanma González,Ultimate Móstoles,9,23,14,0
40,Alexis García,xBuyer Team,7,23,15,1
43,Pau Fernández,El Barrio,14,22,11,1
43,Marc Torrejón,1K FC,10,22,9,1
45,Gio Ferinu,Ultimate Móstoles,12,21,13,2
45,Marcos Guerrero,1K FC,13,21,8,0
45,Borja Fernández,1K FC,9,21,9,2
45,Gerard Nolla,El Barrio,7,21,10,1
49,Llur Genesca,Saiyans FC,10,20,14,0
49,Carlos Torrentbó,El Barrio,14,20,15,1
49,Román Alegre,Saiyans FC,8,20,10,3
49,Jorge Alba,Saiyans FC,4,20,8,2
53,Feliu Torrus,Ultimate Móstoles,12,19,13,1
53,Martín Mantovani,El Barrio,13,19,10,1
55,Aarón Ropero,PIO FC,12,18,10,0
55,Augusto Fernández,Kunisports,8,18,11,2
57,Bernat Rovira,Aniquiladores FC,13,17,10,1
57,Jordi Ros,Jijantes FC,13,17,9,3
57,Xavi Molas,1K FC,13,17,8,2
57,Aleix Lage,Saiyans FC,13,17,13,0
57,Dani Martí,Ultimate Móstoles,10,17,6,0
62,Joselete Blanco,Rayo de Barcelona,7,16,12,0
62,Carles Planas,Los Troncos FC,10,16,7,0
62,Mauricio del Castillo,Kunisports,7,16,10,2
65,Joel Bañuls,Ultimate Móstoles,12,15,6,1
65,Oscar Rivero,PIO FC,12,15,9,1
67,Dorkis Pérez,Porcinos FC,12,14,8,0
67,Román Golobart,Jijantes FC,12,14,6,0
69,Iván López 'Cokita',1K FC,13,13,8,0
69,Ian González,Los Troncos FC,9,13,5,0
69,Sergio 'Kun' Agüero,Kunisports,2,13,11,0
69,Iván Pérez,Jijantes FC,10,13,8,0
73,Carlos Val,Kunisports,12,12,5,0
73,Roger García,Saiyans FC,6,12,8,0
73,Dani Liñares,Rayo de Barcelona,8,12,6,0
73,Gerard 'Hulk' Artigas,PIO FC,6,12,7,1
73,Antoni Hernández,xBuyer Team,6,12,8,1
78,Gabriel Cichero,Ultimate Móstoles,3,10,4,0
78,David Soriano,Porcinos FC,12,10,4,1
80,Kilian Honorato,El Barrio,9,9,6,0
80,Temo Korkotashvili,Porcinos FC,9,9,7,0
80,David Alba,Aniquiladores FC,12,9,7,0
80,Franky Purtí,Rayo de Barcelona,10,9,5,0
80,Daniel Santiago,Rayo de Barcelona,11,9,5,0
80,Ibai Gómez,Jijantes FC,2,9,6,0
86,Joel Macarulla,Aniquiladores FC,13,8,2,2
86,Victor Hidalgo,xBuyer Team,14,8,6,0
86,Raúl Ledo,1K FC,13,8,4,0
89,Pau 'ZZ' Ruiz,Aniquiladores FC,12,7,5,0
89,Noel López,Kunisports,3,7,6,0
89,Benjamín Sierra,Kunisports,12,7,4,0
89,Ruben G. Tremiño,Los Troncos FC,6,7,5,1
89,Cebri Queralt,1K FC,3,7,2,0
89,Pablo Hernández,Rayo de Barcelona,5,7,3,1
95,Cristian Valle,Porcinos FC,7,6,3,1
95,Pau Mañé,Aniquiladores FC,13,6,5,0
95,Xavi Olaechea,PIO FC,12,6,4,0
95,Adrián Biboum,Los Troncos FC,9,6,4,0
95,Lucca Ribeiro,Saiyans FC,10,6,2,0
95,Miki Fernández,xBuyer Team,14,6,4,0
101,Raúl Lao,Los Troncos FC,10,5,2,0
101,Álex Campuzano,Kunisports,7,5,1,0
101,Marc Galvany,Saiyans FC,13,5,3,0
101,Aleix Massegú,Ultimate Móstoles,7,5,2,0
101,Raúl Martínez,Jijantes FC,10,5,2,0
101,Carlos García,Kunisports,8,5,2,0
101,Àlex Gutiérrez,Porcinos FC,5,5,2,0
101,Adnane Ghailan,Los Troncos FC,2,5,4,0
101,Edu Oriol,Los Troncos FC,2,5,4,0
101,Pablo Zabaleta,Kunisports,4,5,2,0
111,Víctor Torres,PIO FC,12,4,2,0
111,Sergio Sánchez,Ultimate Móstoles,9,4,2,1
111,Iker López,El Barrio,14,4,2,0
111,Nacho Berché,Rayo de Barcelona,11,4,3,0
111,Franc Cortés,Jijantes FC,8,4,3,0
111,Sergi Sauras,Jijantes FC,11,4,3,0
111,Carlitos González,Porcinos FC,7,4,1,0
111,Diego de la Mata,Ultimate Móstoles,4,4,2,0
111,Djibril Cissé,Los Troncos FC,2,4,1,0
111,Adrià Granell,Los Troncos FC,2,4,0,0
111,Sergio Mulero,Aniquiladores FC,3,4,2,0
111,Antonio Pelegrín,Saiyans FC,1,4,2,0
111,Emiliano Armenteros,Kunisports,1,4,3,0
111,Xavi Puerto,Rayo de Barcelona,1,4,2,1
127,Dani Pérez,Saiyans FC,13,3,3,0
127,Xavi Garcia,Aniquiladores FC,12,3,3,0
127,Roger Bonet,Saiyans FC,8,3,0,0
127,Noel Bayarri,Porcinos FC,4,3,2,0
127,Bernat Juárez,El Barrio,13,3,1,0
127,Alejo García,PIO FC,9,3,2,0
127,Ismael Cabello,PIO FC,11,3,2,0
127,Fernando Marqués,1K FC,2,3,2,0
127,Raúl Morillo,Los Troncos FC,6,3,2,0
127,Martí Riverola,Los Troncos FC,1,3,2,0
127,Joaquín Amador,Aniquiladores FC,3,3,0,0
140,Marc Briones,Porcinos FC,11,2,1,0
140,Raúl Dorado,xBuyer Team,9,2,1,0
140,Daniel Pérez,xBuyer Team,13,2,1,0
140,Steven Rodríguez,Rayo de Barcelona,10,2,2,0
140,Adrià 'Capi' Gutiérrez,xBuyer Team,13,2,2,0
140,Josep Corderas,Los Troncos FC,9,2,1,0
140,Flavio Ruggeri,Porcinos FC,11,2,0,0
140,Lluc Riera,Rayo de Barcelona,11,2,2,0
140,Marino Gómez,El Barrio,12,2,0,0
140,David Acedo,Aniquiladores FC,3,2,0,1
140,Víctor Molina,Jijantes FC,10,2,2,0
140,Cristian Gómez,Ultimate Móstoles,2,2,0,0
140,Victor Aliaga,xBuyer Team,1,2,1,0
140,Carlos de la Nava,Saiyans FC,1,2,0,0
140,Marc Marruecos,Rayo de Barcelona,2,2,1,1
140,Juan Rivas,Ultimate Móstoles,2,2,0,0
140,Christian Alfonso,PIO FC,3,2,1,0
140,Lulu Rodríguez,Saiyans FC,4,2,1,0
140,David López,Los Troncos FC,1,2,2,0
162,Victor Baranera,Kunisports,10,1,1,0
162,Javier Capilla,El Barrio,4,1,1,0
162,Arnau Martínez,Jijantes FC,2,1,1,0
162,Pol Lechuga,Ultimate Móstoles,12,1,1,0
162,Jorge Ibáñez,PIO FC,12,1,0,0
162,Adrià de Castro,Rayo de Barcelona,5,1,0,0
162,Alex 'Race' Ramírez,PIO FC,3,1,1,0
162,Víctor Cócera,Kunisports,12,1,0,0
162,Walter Montillo,Kunisports,1,1,0,0
162,Gai Assulin,Jijantes FC,1,1,1,0
162,Andrea Pirlo,Jijantes FC,1,1,0,1
162,Alexis Ruano,1K FC,1,1,1,0
162,Eric Panés,Saiyans FC,1,1,0,1
162,Andriy Shevchenko,Ultimate Móstoles,1,1,1,0
162,Diego Capel,Porcinos FC,1,1,0,0
162,Dani 'Mini Bartu' Ruiz,Los Troncos FC,2,1,0,0
162,Mauro Alguacil,El Barrio,3,1,1,0
162,Pau López,Rayo de Barcelona,1,1,0,0
162,Agi Dambelley,Ultimate Móstoles,2,1,0,1
162,Pablo Sánchez,PIO FC,1,1,1,0
