Ranking,Name,Team,PM,S,ST,SW
1,Fran Hernández,Aniquiladores FC,13,79,44,3
2,Edgar Álvaro,Los Troncos FC,13,63,43,1
3,Marc Pelaz,Rayo de Barcelona,10,57,37,2
4,Roger Carbó,Saiyans FC,13,56,32,2
5,Gilles Vidal,Aniquiladores FC,14,55,36,5
5,Cristian Ubón,El Barrio,13,55,39,1
7,Gabriel Cichero,Porcinos FC,12,53,29,5
8,Joan Poch,xBuyer Team,12,51,29,2
9,Juanma González,Ultimate Móstoles,12,49,29,2
10,Joan Verdú,Los Troncos FC,11,48,32,3
11,Pablo Beguer,El Barrio,13,45,26,0
12,Hugo Fraile,Porcinos FC,10,44,23,2
13,Alberto Bueno,1K FC,10,41,26,1
14,Ferran Corominas,Kunisports,12,40,29,0
15,Feliu Torrus,Saiyans FC,13,39,22,2
15,Carlos Torrentbó,Kunisports,12,39,21,2
17,Javi Espinosa,Porcinos FC,12,36,27,2
18,Mario Reyes,Rayo de Barcelona,10,35,20,2
18,Álvaro Arché,Ultimate Móstoles,12,35,28,0
20,Gio Ferinu,Saiyans FC,11,34,18,3
20,Jacobo Liencres,El Barrio,13,34,17,0
22,Jordi Ros,El Barrio,13,32,17,2
22,Carlos Castro,xBuyer Team,12,32,22,3
22,Nadir Louah,Aniquiladores FC,9,32,18,4
25,Marcos Guerrero,Kunisports,11,30,17,0
26,Carlos Corvo,PIO FC,6,28,15,0
27,Marc Pluvins,1K FC,10,27,16,1
28,Dídac Vilà,Rayo de Barcelona,8,26,11,3
29,Franky Purtí,Rayo de Barcelona,10,25,14,0
29,Ibai Gómez,Jijantes FC,6,25,13,1
31,Fuad El Amrani,xBuyer Team,7,24,14,1
31,Alberto Lopo,PIO FC,10,24,14,0
33,Kilian Honorato,Porcinos FC,12,23,14,2
33,Iván López 'Cokita',PIO FC,10,23,13,1
33,Mark Sorroche,1K FC,10,23,15,2
36,Lluís Alsina,Jijantes FC,9,22,13,0
37,Pau Fernández,PIO FC,10,21,10,1
38,Bernat Rovira,Aniquiladores FC,14,20,12,1
38,Oriol Boada,El Barrio,11,20,14,1
38,Aarón Ropero,PIO FC,10,20,11,0
38,Àlex Gutiérrez,Ultimate Móstoles,10,20,11,0
38,Aleix Lage,Ultimate Móstoles,12,20,12,1
38,Victor Hidalgo,Kunisports,11,20,13,1
44,Jonathan Soriano,Jijantes FC,7,19,12,0
44,Noel López,Los Troncos FC,11,19,9,0
44,Marc Granero,xBuyer Team,12,19,9,1
44,Joan Inés,Kunisports,10,19,12,0
48,Joselete Blanco,Porcinos FC,12,18,13,0
48,Carlos Val,PIO FC,10,18,10,0
48,Iñaki Villalba,xBuyer Team,12,18,8,0
48,Flavio Ruggeri,Kunisports,12,18,8,0
48,Oscar Rivero,1K FC,10,18,12,0
53,Uri Pons,Porcinos FC,8,16,10,4
54,Carles Planas,Los Troncos FC,10,15,8,0
54,Román Alegre,1K FC,10,15,9,0
56,Raúl Lao,Porcinos FC,12,14,7,1
56,Temo Korkotashvili,Saiyans FC,13,14,8,1
56,Víctor Torres,Saiyans FC,13,14,6,0
56,Marc Galvany,Aniquiladores FC,12,14,10,0
56,Joel Macarulla,Jijantes FC,11,14,5,0
56,Ruben G. Tremiño,1K FC,10,14,10,1
56,Sergio García,Ultimate Móstoles,6,14,6,3
56,Sergio 'Kun' Agüero,Kunisports,3,14,7,2
64,Roger Bonet,Aniquiladores FC,13,13,12,0
64,David Soriano,Los Troncos FC,13,13,7,0
64,Daniel Pérez,Rayo de Barcelona,10,13,7,1
64,Adrián Biboum,Rayo de Barcelona,10,13,7,1
64,Joel Bañuls,xBuyer Team,12,13,7,0
69,Pau Mañé,Aniquiladores FC,10,12,7,0
69,Pau 'ZZ' Ruiz,El Barrio,13,12,5,0
69,Raúl Dorado,Jijantes FC,11,12,7,0
69,Xavi Molas,Los Troncos FC,13,12,9,0
69,Llur Genesca,Ultimate Móstoles,10,12,7,0
69,Marino Gómez,1K FC,10,12,9,0
75,David López,Porcinos FC,10,11,5,0
75,Roger de la Villa,Jijantes FC,5,11,7,1
75,Rubén de la Red,Ultimate Móstoles,3,11,7,1
75,Iván Pérez,Jijantes FC,5,11,8,0
75,Víctor Molina,Los Troncos FC,6,11,9,1
75,Adrià de Mesa,Ultimate Móstoles,2,11,4,1
81,Aleix Massegú,El Barrio,8,10,3,0
81,Javi Márquez,PIO FC,3,10,4,0
83,Arnau Martínez,Jijantes FC,10,9,3,1
83,Guillem 'ZZ' Ruiz,Rayo de Barcelona,10,9,7,0
83,Raúl Ledo,1K FC,10,9,4,0
83,Fran Álvarez,Los Troncos FC,2,9,4,0
83,Pol Almellones,Saiyans FC,8,9,6,0
