Ranking,Name,Team,PM,S,ST,SW
88,Sergio Sánchez,Los Troncos FC,4,8,7,0
88,Fabián Orellana,xBuyer Team,3,8,6,0
88,Martín Mantovani,El Barrio,7,8,6,0
88,Mandi Sosa,Rayo de Barcelona,1,8,5,0
88,Román Golobart,Jijantes FC,5,8,2,2
93,Álex Campuzano,Saiyans FC,12,7,4,0
93,Cristian Valle,Saiyans FC,11,7,4,0
93,Xavi Garcia,Aniquiladores FC,13,7,6,0
93,Xavi Olaechea,El Barrio,10,7,3,0
93,Dorkis Pérez,Los Troncos FC,13,7,5,0
93,Iván Nuevo,Los Troncos FC,9,7,2,0
93,Lautaro Nicolas,1K FC,9,7,5,1
100,Juan Quero,Jijantes FC,9,6,2,0
100,Raúl Martínez,Los Troncos FC,10,6,4,0
100,Alex 'Race' Ramírez,Rayo de Barcelona,10,6,3,0
100,Miki Fernández,Kunisports,12,6,3,0
100,Javi Chica,Kunisports,4,6,3,0
105,David Alba,Saiyans FC,12,5,1,1
105,Joan Capdevila,Saiyans FC,7,5,5,0
105,Pol Lechuga,Los Troncos FC,13,5,2,1
105,Lucca Ribeiro,Ultimate Móstoles,8,5,3,0
105,Franc Cortés,xBuyer Team,7,5,4,0
105,Sergi Sauras,1K FC,9,5,3,0
105,Víctor Sánchez,Los Troncos FC,1,5,2,1
105,Joel Huertas,Jijantes FC,2,5,1,0
105,Diego de la Mata,Ultimate Móstoles,2,5,4,1
105,Walter Montillo,Kunisports,1,5,3,1
105,Ezequiel Calvente,Aniquiladores FC,1,5,3,1
105,Nando Quesada,Jijantes FC,1,5,3,0
118,Jadir Cirera,Aniquiladores FC,6,4,2,0
118,Noel Bayarri,Jijantes FC,7,4,1,0
118,Iker López,Ultimate Móstoles,11,4,4,0
118,Ian González,Ultimate Móstoles,12,4,1,0
118,Pitu Comadevall,Jijantes FC,1,4,1,0
118,Nico Pareja,El Barrio,5,4,1,0
125,Victor Alfaya,Saiyans FC,1,3,2,0
125,Dani Pérez,Aniquiladores FC,14,3,2,0
125,Victor Baranera,El Barrio,9,3,2,0
125,Javier Capilla,El Barrio,8,3,1,1
125,José Juan Figueiras,El Barrio,13,3,2,0
125,Pol Zapata,Jijantes FC,10,3,1,0
125,Bernat Juárez,PIO FC,5,3,1,0
125,Joan Canet,Rayo de Barcelona,10,3,1,0
125,Daniel Santiago,xBuyer Team,12,3,3,0
125,Benjamín Sierra,xBuyer Team,12,3,0,0
125,Lluc Riera,Kunisports,9,3,1,0
125,Ricardo López,1K FC,10,3,3,0
125,Antonio Barragán,Jijantes FC,1,3,0,0
141,Toti Sàlvia,Porcinos FC,10,2,2,0
141,Jorge Gómez,El Barrio,2,2,1,0
141,Adrià de Castro,PIO FC,3,2,2,0
141,Jonathan A. Jiménez,Rayo de Barcelona,7,2,1,0
141,Pol Marcó 'Poloteli',Rayo de Barcelona,7,2,1,0
141,Steven Rodríguez,Ultimate Móstoles,5,2,0,0
141,Adrià 'Capi' Gutiérrez,xBuyer Team,12,2,1,0
141,Goran Ehsan,xBuyer Team,10,2,1,0
141,Bruno Gumà,1K FC,10,2,0,0
141,David Acedo,Aniquiladores FC,3,2,1,0
141,Enigma 69,xBuyer Team,2,2,1,0
141,Cristian Saldaña,Saiyans FC,4,2,1,0
141,Ismael Cabello,PIO FC,4,2,0,0
141,Pol Font,Los Troncos FC,1,2,1,0
141,Ronaldinho,Porcinos FC,1,2,1,0
141,Mauricio del Castillo,Kunisports,1,2,1,0
158,Aleix Ripol,Porcinos FC,4,1,0,0
158,Raúl Tamudo,Porcinos FC,1,1,1,0
158,Jay Mengeli,Jijantes FC,7,1,0,0
158,Jorge Ibáñez,PIO FC,9,1,1,0
158,Alejo García,Rayo de Barcelona,9,1,1,0
158,Iu Morral,Ultimate Móstoles,8,1,1,0
158,Nacho Jordà,Kunisports,6,1,0,0
158,Jordi Campoy,Aniquiladores FC,1,1,1,0
158,Francisco 'Goku' Martín,Aniquiladores FC,2,1,1,0
158,Joseba García,Saiyans FC,1,1,1,0
158,Carlitos González,Porcinos FC,4,1,1,0
158,Walter Erviti,Aniquiladores FC,3,1,1,0
158,Augusto Fernández,Kunisports,1,1,1,0
158,Gerard Tejedor,Kunisports,1,1,0,0
158,David López,Saiyans FC,3,1,0,0
