Ranking,Name,Team,PM,TG,Gx2,Pen,%Pen,PSO,%PSO,OW
1,Gilles Vidal,El Barrio,12,24,2,3,100,1,75,0
2,Marc Granero,1K FC,11,22,0,5,71.43,3,33.33,0
3,Marc Pelaz,Jijantes FC,14,19,3,0,0,0,100,0
4,Nadir Louah,Porcinos FC,10,18,3,1,50,1,50,0
5,Cristian Ubón,Ultimate Móstoles,12,17,0,2,66.67,0,100,0
6,Fernando Velillas,Jijantes FC,14,15,1,5,71.43,0,0,0
8,Javi Espinosa,Aniquiladores FC,13,13,2,3,75,0,0,0
8,Fran Hernández,Aniquiladores FC,13,13,0,1,100,2,75,0
8,Gerard Nolla,Porcinos FC,10,13,1,3,100,0,0,0
8,Luis García,Jijantes FC,10,13,2,1,100,0,0,0
12,Fuad El Amrani,xBuyer Team,14,12,1,0,0,1,25,0
12,Aridai Cabrera,PIO FC,9,12,0,2,100,2,100,0
14,Adrián Espinar,Jijantes FC,14,11,1,1,100,1,25,0
15,Àlex Gutiérrez,Porcinos FC,12,9,0,0,0,0,0,1
15,Dani Liñares,Saiyans FC,11,9,1,3,100,0,20,0
15,Jero Martín,PIO FC,11,9,1,0,0,0,0,0
18,Álvaro Arché,El Barrio,12,8,0,0,0,0,100,0
18,Ferran Corominas,Ultimate Móstoles,11,8,2,0,0,1,100,0
18,Víctor Oribe,xBuyer Team,10,8,1,1,100,1,100,0
18,Yuri de Souza,Rayo de Barcelona,11,8,3,2,100,0,33.33,0
24,Edgar Álvaro,Los Troncos FC,11,7,1,2,66.67,0,0,0
24,Diego de la Mata,Ultimate Móstoles,12,7,0,0,0,0,0,0
24,Aleix Martí,Ultimate Móstoles,11,7,0,0,0,0,0,0
27,Roger Carbó,xBuyer Team,7,6,1,0,0,1,50,0
27,Pablo Beguer,Jijantes FC,13,6,2,0,0,0,0,0
27,Pablo Fernández,Saiyans FC,11,6,1,0,0,0,100,0
30,Franky Purtí,Rayo de Barcelona,11,5,0,0,0,0,50,0
30,Nico Santos,Porcinos FC,11,5,1,0,0,0,0,0
30,Carlos Contreras,xBuyer Team,14,5,0,0,0,0,50,0
30,Aleix Hernando,Porcinos FC,12,5,1,0,0,0,0,0
30,Pol Ortega,Saiyans FC,6,5,1,0,0,0,0,0
30,Sergio 'Chechi' Costa,xBuyer Team,7,5,2,0,0,0,0,0
36,Aleix Lage,Ultimate Móstoles,12,4,0,0,0,0,0,0
36,Sergio 'Kun' Agüero,Kunisports,4,4,1,3,60,0,0,0
36,Kelvin Oliveira,Porcinos FC,2,4,0,1,100,1,100,0
36,Álex 'Capi' Domingo,Ultimate Móstoles,12,4,1,0,0,0,0,0
36,Joan Luque,Porcinos FC,6,4,0,0,0,0,0,0
36,Xavi Pluvins,El Barrio,9,4,0,0,0,0,100,0
42,Oriol Boada,El Barrio,12,3,0,0,0,1,100,0
42,Pol Lechuga,Rayo de Barcelona,11,3,0,0,0,0,0,0
42,Guillem 'ZZ' Ruiz,Aniquiladores FC,13,3,1,0,0,0,0,0
42,Ian González,Los Troncos FC,12,3,0,0,0,0,0,0
42,Juanma González,xBuyer Team,14,3,1,0,0,0,50,0
42,Carlos Torrentbó,Kunisports,10,3,0,1,100,0,0,0
42,Hugo Fraile,Aniquiladores FC,13,3,1,0,0,0,100,1
42,Iván Pérez,Kunisports,11,3,0,0,0,0,0,0
42,Eloy Pizarro,Ultimate Móstoles,11,3,0,0,0,1,100,0
42,José 'Casi' Ruiz,Aniquiladores FC,12,3,0,0,0,0,0,0
42,Nil Ayats,Jijantes FC,14,3,2,0,0,0,100,0
42,Albert Dalmau,1K FC,11,3,0,0,0,1,100,0
42,David Sánchez,Rayo de Barcelona,11,3,2,0,0,0,100,0
42,Sergi Gestí,Saiyans FC,5,3,0,0,0,0,0,0
42,Pablo Gómez,PIO FC,6,3,0,1,100,0,0,0
42,Alberto de la Bella,Ultimate Móstoles,10,3,1,0,0,0,0,0
42,Hichem Boumedol,Aniquiladores FC,11,3,1,0,0,0,0,0
42,Fran Rodríguez,Los Troncos FC,11,3,0,0,0,0,0,0
42,Diego Jiménez,Porcinos FC,12,3,0,0,0,0,0,0
42,Nauzet Hernández,Saiyans FC,11,3,0,0,0,0,100,0
42,Mikel Rico,Porcinos FC,12,3,1,0,0,0,0,0
64,Marc Briones,PIO FC,11,2,0,0,0,0,0,0
64,Jacobo Liencres,PIO FC,8,2,0,0,0,0,0,0
64,Carlos Val,Kunisports,11,2,0,0,0,0,0,0
64,Lucca Ribeiro,Saiyans FC,8,2,0,0,0,0,0,0
64,Marcos Guerrero,1K FC,9,2,0,0,0,0,0,1
64,Mark Sorroche,Los Troncos FC,12,2,0,0,0,0,0,0
64,Martín Mantovani,Saiyans FC,10,2,0,0,0,0,100,0
64,Carlos Omabegho,PIO FC,11,2,0,0,0,0,0,0
64,Gerard Vacas,El Barrio,12,2,0,0,0,0,0,0
64,Isaac Maldonado,Rayo de Barcelona,5,2,0,0,0,1,33.33,0
64,Víctor Vidal,Ultimate Móstoles,12,2,0,0,0,0,0,0
64,Iker Alcarazo,xBuyer Team,14,2,1,0,0,0,50,0
64,Manuel Linares,Jijantes FC,9,2,0,0,0,0,100,0
64,Paco Tomás,1K FC,11,2,0,0,0,0,50,0
64,Robert Vallribera,Kunisports,8,2,0,0,0,0,0,0
64,Acorán Barrera,Rayo de Barcelona,3,2,0,0,0,0,50,0
82,José Segovia,Jijantes FC,14,1,0,0,0,0,0,0
82,Kilian Honorato,Ultimate Móstoles,11,1,1,0,0,0,0,0
82,Joselete Blanco,Porcinos FC,2,1,0,0,0,0,0,0
82,Gio Ferinu,Saiyans FC,11,1,0,0,0,0,0,0
82,Álex Campuzano,Kunisports,11,1,1,0,0,0,0,0
82,Feliu Torrus,Jijantes FC,13,1,0,0,0,0,100,0
82,Iván Fajardo,Saiyans FC,3,1,0,0,0,0,0,0
82,Jordi Ros,Aniquiladores FC,13,1,0,0,0,0,0,0
82,Pau 'ZZ' Ruiz,El Barrio,9,1,0,0,0,0,0,0
82,Lluís Alsina,1K FC,11,1,0,0,0,0,100,0
82,David Soriano,Porcinos FC,12,1,0,0,0,0,0,0
82,Jorge Ibáñez,Porcinos FC,7,1,0,0,0,0,0,0
82,Iván López 'Cokita',PIO FC,11,1,0,0,0,1,50,0
82,Aarón Ropero,PIO FC,11,1,0,0,0,0,100,0
82,Mario Reyes,Aniquiladores FC,12,1,0,0,0,0,0,0
82,Adrià 'Capi' Gutiérrez,xBuyer Team,12,1,0,0,0,0,0,0
82,Iñaki Villalba,Kunisports,7,1,0,0,0,0,0,0
82,Joel Bañuls,Ultimate Móstoles,12,1,0,0,0,0,0,1
82,Marc Pluvins,1K FC,8,1,0,0,0,0,100,0
82,Víctor Mongil,PIO FC,11,1,0,0,0,0,0,0
82,Aitor Vives,Los Troncos FC,12,1,0,0,0,0,0,0
82,Gabriel Vidal,Aniquiladores FC,8,1,1,0,0,0,0,0
82,Manuel Martín,Los Troncos FC,12,1,0,0,0,0,0,0
82,Alfons Serra,Saiyans FC,11,1,0,0,0,0,0,0
82,Iker González,El Barrio,12,1,0,0,0,0,100,0
82,Alberto Arnalot,1K FC,11,1,0,0,0,0,0,0
82,Pablo Hernández,Ultimate Móstoles,2,1,0,0,0,0,100,0
82,Marc Valiente,El Barrio,9,1,0,0,0,0,0,0
82,Carlos Ferres,Los Troncos FC,12,1,0,0,0,0,0,0
82,Adrián Frutos,Jijantes FC,13,1,0,0,0,0,0,0
82,Cristian Faura,PIO FC,10,1,0,0,0,0,0,0
82,Juan Pedro Nzo,Rayo de Barcelona,8,1,0,0,0,0,100,0
82,Mario 'Lepetit' Rodríguez,El Barrio,7,1,0,0,0,0,0,0
82,Eric Lobato,1K FC,8,1,1,0,0,0,0,0
82,Álex Medina,xBuyer Team,11,1,0,0,0,0,100,0
82,Roger Serrano,El Barrio,12,1,0,0,0,0,50,1
82,Pablo López,Jijantes FC,7,1,0,0,0,0,0,0
82,Alexander Gastón,Kunisports,6,1,0,0,0,0,0,0
82,Guillem Jaime,Rayo de Barcelona,3,1,0,0,0,0,0,0
82,Borja Mir,Los Troncos FC,3,1,1,0,0,0,0,0
