Ranking,Name,Team,PM,TG,Gx2,Pen,%Pen,PSO,%PSO,OW
30,Gerard Verge,1K FC,4,7,2,0,0,0,0,0
30,Víctor Oribe,xBuyer Team,11,7,1,1,100,0,0,0
35,Iván López 'Cokita',Saiyans FC,11,6,1,0,0,2,80,0
35,Ferran Corominas,Ultimate Móstoles,8,6,0,1,100,0,0,0
35,Carlos Omabegho,Kunisports,10,6,0,0,0,0,0,0
35,Dani Liñares,Ultimate Móstoles,13,6,2,3,75,0,0,0
35,Iván Torres,Porcinos FC,8,6,0,0,0,0,0,0
40,Carlos Val,Aniquiladores FC,13,5,0,0,0,0,0,0
40,Joan Canet,Ultimate Móstoles,9,5,0,0,0,0,0,0
40,Fernando Velillas,PIO FC,6,5,1,1,100,0,0,0
40,Manuel Martín,xBuyer Team,9,5,0,0,0,0,0,0
40,Eloy Amoedo,Los Troncos FC,11,5,0,0,0,0,100,0
40,Víctor Vidal,Jijantes FC,11,5,0,0,0,0,0,0
40,Xavi Pluvins,El Barrio,9,5,1,0,0,0,100,0
40,Aridai Cabrera,PIO FC,4,5,0,0,0,2,0,0
40,Mohsine El Haji,1K FC,8,5,1,1,100,0,50,0
50,Marc Briones,Saiyans FC,11,4,0,0,0,0,0,0
50,Feliu Torrus,1K FC,12,4,0,0,0,3,100,0
50,Oriol Boada,Los Troncos FC,9,4,1,0,0,0,0,0
50,Diego de la Mata,Ultimate Móstoles,13,4,0,0,0,0,0,0
50,Dani Martí,Jijantes FC,8,4,1,0,0,0,0,0
50,Aitor Vives,Saiyans FC,10,4,2,0,0,0,0,0
50,Gerard Vacas,Porcinos FC,8,4,0,0,0,0,0,0
50,Hichem Boumedol,Aniquiladores FC,12,4,3,0,0,0,0,0
50,Hugo Eyre,El Barrio,12,4,0,0,0,0,0,0
50,Mario 'Lepetit' Rodríguez,xBuyer Team,7,4,0,0,0,0,0,0
50,Diego Jiménez,Los Troncos FC,11,4,0,0,0,0,100,0
62,Aleix Lage,Ultimate Móstoles,10,3,0,0,0,0,0,0
62,Víctor Cócera,Aniquiladores FC,11,3,0,0,0,0,0,0
62,Alberto Bueno,Ultimate Móstoles,3,3,0,1,100,0,0,0
62,Dani 'Mini Bartu' Ruiz,Kunisports,11,3,0,0,0,0,0,0
62,Isaac Maldonado,Saiyans FC,9,3,0,0,0,0,0,0
62,Adrià Escribano,Kunisports,11,3,0,0,0,0,0,0
62,Iker Alcarazo,xBuyer Team,10,3,0,0,0,0,0,0
62,Franco Romero,Kunisports,11,3,0,2,100,0,0,0
62,Carlos Martínez,Jijantes FC,8,3,0,0,0,0,0,0
62,Dani Parra,PIO FC,7,3,0,0,0,0,0,0
75,Gio Ferinu,Saiyans FC,11,2,1,0,0,0,0,0
75,Jacobo Liencres,xBuyer Team,11,2,0,0,0,0,0,0
75,Jorge Ibáñez,Kunisports,11,2,0,0,0,0,0,0
75,Pau Fernández,Jijantes FC,10,2,1,0,0,0,0,0
75,Àlex Gutiérrez,Los Troncos FC,7,2,0,0,0,0,0,0
75,Josep Corderas,Rayo de Barcelona,5,2,0,0,0,0,0,0
75,Mark Sorroche,El Barrio,12,2,0,0,0,0,0,0
75,Xavi Liébanas,Aniquiladores FC,13,2,0,0,0,0,100,0
75,Alberto Arnalot,Rayo de Barcelona,10,2,0,0,0,0,0,0
75,Alberto de la Bella,Ultimate Móstoles,13,2,0,0,0,0,0,0
75,Fran Rodríguez,Kunisports,11,2,0,0,0,0,0,0
75,Aleix Hernando,Ultimate Móstoles,13,2,0,0,0,0,0,0
75,Daniel Plaza,Jijantes FC,11,2,0,0,0,0,0,0
75,Miraash Imthiyaz,Aniquiladores FC,13,2,0,0,0,0,0,0
75,Joel Navas,PIO FC,9,2,0,0,0,0,100,0
75,Juan Pedro Nzo,Rayo de Barcelona,11,2,0,0,0,0,0,0
75,Manuel Linares,Jijantes FC,10,2,0,0,0,0,0,0
75,John Neeskens,El Barrio,1,2,1,0,0,0,0,0
96,José Segovia,Ultimate Móstoles,12,1,0,0,0,0,0,0
96,Kilian Honorato,Ultimate Móstoles,12,1,0,0,0,0,0,0
96,Álex Campuzano,PIO FC,10,1,0,1,100,0,100,0
96,Dani Pérez,PIO FC,4,1,0,0,0,0,0,0
96,Jordi Ros,1K FC,11,1,0,0,0,0,0,0
96,Pau 'ZZ' Ruiz,Rayo de Barcelona,11,1,0,0,0,0,0,0
96,Lluís Alsina,Los Troncos FC,7,1,0,0,0,0,0,0
96,Roger de la Villa,Jijantes FC,10,1,0,0,0,0,100,0
96,David Soriano,Los Troncos FC,11,1,0,0,0,0,0,0
96,Sergio Sánchez,Porcinos FC,11,1,0,0,0,0,0,0
96,Aarón Ropero,1K FC,12,1,0,0,0,0,0,0
96,Iñaki Villalba,El Barrio,6,1,0,0,0,0,0,0
96,Carlos Torrentbó,Porcinos FC,8,1,0,0,0,0,0,0
96,Marc Pluvins,El Barrio,12,1,0,0,0,0,100,0
96,Martín Mantovani,Aniquiladores FC,13,1,0,0,0,0,0,1
96,Adri Gimeno,xBuyer Team,10,1,0,0,0,0,0,0
96,Víctor Mongil,1K FC,12,1,0,0,0,0,0,0
96,Antoni Hernández,El Barrio,10,1,0,0,0,0,0,0
96,Albert Dalmau,Rayo de Barcelona,11,1,1,0,0,0,0,0
96,Álex Romero,Aniquiladores FC,8,1,0,0,0,0,0,1
96,Óscar Coll,Porcinos FC,11,1,0,0,0,0,0,0
96,Sergi Gestí,Ultimate Móstoles,13,1,0,0,0,0,100,0
96,Iker González,PIO FC,9,1,0,0,0,0,100,0
96,Carlos Contreras,Saiyans FC,7,1,0,0,0,0,100,0
96,Adrián Frutos,Porcinos FC,11,1,0,0,0,0,50,0
96,David Gallego,Saiyans FC,1,1,0,0,0,0,0,0
96,Álex 'Capi' Domingo,Jijantes FC,11,1,0,0,0,0,0,0
96,Cristian Faura,Kunisports,11,1,0,0,0,0,0,0
96,Eric Lobato,PIO FC,11,1,0,0,0,0,100,0
96,Marc Pilar,Jijantes FC,10,1,0,1,100,0,100,0
96,Pablo Saborido,El Barrio,11,1,0,0,0,0,0,0
96,Alexander Szymanowski,1K FC,6,1,0,0,0,0,50,0
96,Matteo Perrotti,Ultimate Móstoles,1,1,0,0,0,0,0,0
96,Oscar Gironés,Saiyans FC,7,1,0,0,0,0,0,0
