Ranking,Name,Team,PM,TG,Gx2,Pen,%Pen,PSO,%PSO,OW
1,Pol Ortega,Jijantes FC,11,21,2,1,100,0,0,0
2,Edgar Álvaro,Aniquiladores FC,13,16,3,2,100,3,60,0
2,Marc Pelaz,Porcinos FC,11,16,3,0,0,3,80,0
2,Marc Granero,Ultimate Móstoles,13,16,1,3,100,1,100,0
2,Fuad El Amrani,xBuyer Team,11,16,0,0,0,3,100,0
6,Cristian Ubón,El Barrio,12,15,1,4,100,3,66.67,0
6,Javi Espinosa,Aniquiladores FC,13,15,1,8,100,1,100,0
8,Nil Ayats,Jijantes FC,9,14,0,1,50,6,80,0
8,Robert Vallribera,El Barrio,12,14,0,1,100,0,100,0
10,Jero Martín,Saiyans FC,11,12,1,0,0,0,0,0
10,Pablo Fernández,PIO FC,11,12,2,0,0,0,66.67,0
10,Luis García,PIO FC,10,12,1,2,50,1,66.67,0
10,Gerard Oliva,Rayo de Barcelona,11,12,2,4,100,0,0,0
14,Pablo Beguer,xBuyer Team,11,11,1,1,100,0,0,0
16,Gerard Nolla,Porcinos FC,11,10,1,4,100,0,66.67,0
16,Aleix Martí,Rayo de Barcelona,10,10,1,1,100,0,0,0
16,Nico Santos,1K FC,11,10,1,2,66.67,0,0,0
16,Facu Romero,Kunisports,9,10,3,0,0,1,0,0
21,Pol Lechuga,1K FC,12,9,0,0,0,0,0,0
21,Adrián Espinar,Saiyans FC,11,9,1,1,100,1,50,0
21,Mohamed Boullouh,Rayo de Barcelona,10,9,0,0,0,0,0,0
25,Gabriel Cichero,Kunisports,11,8,1,2,66.67,1,100,0
25,Hugo Fraile,Aniquiladores FC,13,8,1,0,0,0,50,0
25,Nadir Louah,Porcinos FC,11,8,1,0,0,0,33.33,0
25,Carlos Corvo,1K FC,5,8,0,0,0,2,100,0
25,Juan Antonio Gallego,Saiyans FC,11,8,0,0,0,0,50,0
30,Gilles Vidal,Porcinos FC,5,7,0,1,100,2,66.67,0
30,Álvaro Arché,Kunisports,11,7,1,0,0,1,33.33,0
30,Juanma González,xBuyer Team,9,7,0,0,0,0,0,1
