Ranking,Name,Team,PM,S,ST,SW
117,David Soriano,Porcinos FC,12,6,3,0
117,Víctor Cócera,Kunisports,10,6,4,1
117,David López,PIO FC,10,6,3,0
117,Marc Torrejón,1K FC,11,6,3,0
117,Cristian Faura,PIO FC,10,6,3,0
117,Izan Espinosa,Los Troncos FC,9,6,4,0
117,Manuel Linares,Jijantes FC,9,6,5,0
117,Xabier Apalategi,Aniquiladores FC,7,6,3,0
117,Álex Medina,xBuyer Team,11,6,4,0
127,Dani Pérez,Saiyans FC,10,5,1,1
127,Jordi Ros,Aniquiladores FC,13,5,3,1
127,Adrià 'Capi' Gutiérrez,xBuyer Team,12,5,3,0
127,Román Alegre,Rayo de Barcelona,7,5,4,0
127,Eloy Pizarro,Ultimate Móstoles,11,5,5,0
127,Eloy Amoedo,Aniquiladores FC,9,5,3,1
127,Álex Romero,xBuyer Team,7,5,4,0
127,Alberto Arnalot,1K FC,11,5,3,0
127,Pablo Hernández,Ultimate Móstoles,2,5,3,1
127,Roger Panadés,xBuyer Team,3,5,3,0
127,Acorán Barrera,Rayo de Barcelona,3,5,5,0
127,Borja Mir,Los Troncos FC,3,5,3,0
140,Gio Ferinu,Saiyans FC,11,4,1,0
140,Sergio Sánchez,Los Troncos FC,11,4,1,0
140,Hugo Eyre,Porcinos FC,8,4,1,0
140,Miraash Imthiyaz,1K FC,11,4,2,0
140,Mario 'Lepetit' Rodríguez,El Barrio,7,4,4,0
140,Pablo López,Jijantes FC,7,4,4,0
146,Iván Fajardo,Saiyans FC,3,3,1,0
146,Dani 'Mini Bartu' Ruiz,PIO FC,6,3,2,0
146,Adrià Escribano,Porcinos FC,10,3,1,0
146,Fran Rodríguez,Los Troncos FC,11,3,3,0
146,David Pérez Picón,xBuyer Team,5,3,2,0
146,Daniel Plaza,Saiyans FC,8,3,2,0
146,Adrià Parera,Saiyans FC,3,3,0,1
146,Alex Llamas,Rayo de Barcelona,1,3,1,0
156,Roger de la Villa,Rayo de Barcelona,5,2,1,0
156,Jorge Ibáñez,Porcinos FC,7,2,2,0
156,Nacho Berché,Aniquiladores FC,7,2,0,0
156,Raúl Ledo,1K FC,9,2,1,0
156,Álex Cubedo,Los Troncos FC,5,2,1,0
156,Adrià Parra,El Barrio,1,2,1,0
164,Joselete Blanco,Porcinos FC,2,1,1,0
164,Sergi Aguilar,Kunisports,6,1,1,0
164,Adri Gimeno,xBuyer Team,1,1,0,0
164,Eric Simó,Aniquiladores FC,3,1,0,0
164,Daniel Quesada,Los Troncos FC,3,1,0,0
164,Eric Lobato,1K FC,8,1,1,0
164,Daniel Cáceres,Kunisports,2,1,1,0
164,Marc Grifell,Jijantes FC,5,1,1,0
