Ranking,Name,Team,PM,S,ST,SW
1,Edgar Álvaro,Aniquiladores FC,13,76,43,3
2,Marc Pelaz,Porcinos FC,12,68,41,5
3,Marc Granero,Ultimate Móstoles,14,66,37,3
4,Fuad El Amrani,xBuyer Team,12,62,51,2
5,Javi Espinosa,Aniquiladores FC,13,56,42,0
6,Mohamed Boullouh,Rayo de Barcelona,10,55,30,3
7,Pol Ortega,Jijantes FC,12,50,38,1
8,Víctor Oribe,xBuyer Team,12,47,28,1
9,Luis García,PIO FC,10,46,32,1
10,Pablo Beguer,xBuyer Team,12,44,30,1
11,Cristian Ubón,El Barrio,12,43,26,3
12,Nadir Louah,Porcinos FC,12,42,25,1
13,Dani Liñares,Ultimate Móstoles,14,41,21,1
13,Jero Martín,Saiyans FC,12,41,28,1
15,Robert Vallribera,El Barrio,12,40,31,0
15,Juan Antonio Gallego,Saiyans FC,12,40,22,3
17,Hugo Fraile,Aniquiladores FC,13,37,21,3
17,Jordi Gómez,Los Troncos FC,9,37,22,2
19,Pablo Fernández,PIO FC,11,36,30,1
20,Gabriel Cichero,Kunisports,12,35,24,1
20,Nil Ayats,Jijantes FC,9,35,22,2
22,Joan Verdú,Los Troncos FC,11,34,21,2
22,Gerard Oliva,Rayo de Barcelona,11,34,25,2
24,Aleix Martí,Rayo de Barcelona,10,33,27,2
24,Adrián Espinar,Saiyans FC,12,33,25,0
26,Álvaro Arché,Kunisports,12,31,23,1
26,Facu Romero,Kunisports,10,31,27,1
28,Pol Lechuga,1K FC,12,30,22,1
28,Diego de la Mata,Ultimate Móstoles,14,30,20,0
28,Nico Santos,1K FC,11,30,22,0
28,Víctor Vidal,Jijantes FC,12,30,14,0
32,Carles Planas,Los Troncos FC,11,28,18,3
32,Carlos Omabegho,Kunisports,11,28,16,3
34,Gerard Nolla,Porcinos FC,11,27,18,2
35,Gilles Vidal,Porcinos FC,6,25,17,1
35,Martín Mantovani,Aniquiladores FC,13,25,12,0
35,Xavi Pluvins,El Barrio,9,25,13,2
38,Aitor Vives,Saiyans FC,11,24,11,1
39,Carlos Val,Aniquiladores FC,13,23,13,0
40,Juanma González,xBuyer Team,10,22,17,0
40,Mark Sorroche,El Barrio,12,22,16,2
40,Gerard Verge,1K FC,4,22,13,1
40,Óscar Coll,Porcinos FC,12,22,14,1
40,Alberto de la Bella,Ultimate Móstoles,14,22,9,1
45,Fernando Velillas,PIO FC,6,21,13,3
45,Eloy Amoedo,Los Troncos FC,11,21,12,0
47,Marc Briones,Saiyans FC,12,20,11,0
47,Feliu Torrus,1K FC,12,20,12,3
47,Mohsine El Haji,1K FC,8,20,14,1
50,Iván López 'Cokita',Saiyans FC,12,19,15,0
50,Aridai Cabrera,PIO FC,4,19,10,0
50,Iván Torres,Porcinos FC,9,19,9,1
53,Sergi Gestí,Ultimate Móstoles,14,17,10,0
53,Iker González,PIO FC,9,17,7,0
53,Diego Jiménez,Los Troncos FC,11,17,10,0
56,Manuel Martín,xBuyer Team,10,16,11,1
56,Hugo Eyre,El Barrio,12,16,11,0
56,Alexander Szymanowski,1K FC,6,16,7,1
56,Carlos Martínez,Jijantes FC,9,16,9,1
60,Ferran Corominas,Ultimate Móstoles,9,15,13,0
60,Gerard Vacas,Porcinos FC,9,15,12,0
60,Adrián Frutos,Porcinos FC,12,15,10,0
63,Iñaki Villalba,El Barrio,6,14,6,0
63,Adri Gimeno,xBuyer Team,11,14,6,1
63,Antoni Hernández,El Barrio,10,14,7,1
63,Pol Román,Kunisports,11,14,6,0
63,Franco Romero,Kunisports,12,14,10,0
68,José Segovia,Ultimate Móstoles,13,13,8,1
68,Aleix Lage,Ultimate Móstoles,10,13,10,0
68,Hichem Boumedol,Aniquiladores FC,12,13,10,0
68,Aleix Hernando,Ultimate Móstoles,14,13,7,0
72,Víctor Mongil,1K FC,12,12,5,1
72,Dani Martí,Jijantes FC,9,12,6,0
72,Xavi Liébanas,Aniquiladores FC,13,12,9,0
72,Álex Romero,Aniquiladores FC,8,12,8,0
72,Isaac Maldonado,Saiyans FC,10,12,9,2
72,Miraash Imthiyaz,Aniquiladores FC,13,12,8,0
72,Dani Parra,PIO FC,7,12,8,0
79,Álex Campuzano,PIO FC,10,11,5,0
79,Guillem 'ZZ' Ruiz,Kunisports,11,11,6,1
79,Franky Purtí,1K FC,11,11,6,0
79,Carlos Contreras,Saiyans FC,8,11,7,0
79,Iker Alcarazo,xBuyer Team,11,11,9,0
79,David Pérez Picón,xBuyer Team,12,11,6,0
79,Izan Espinosa,1K FC,12,11,4,0
79,Joel Navas,PIO FC,9,11,7,3
87,Kilian Honorato,Ultimate Móstoles,13,10,6,1
87,Oriol Boada,Los Troncos FC,9,10,7,0
87,Jorge Ibáñez,Kunisports,12,10,7,1
87,Pau Fernández,Jijantes FC,11,10,7,0
87,Àlex Gutiérrez,Los Troncos FC,7,10,7,0
87,Víctor Cócera,Aniquiladores FC,11,10,5,0
87,Román Alegre,El Barrio,10,10,3,0
87,Marc Pluvins,El Barrio,12,10,3,0
87,Carlos Corvo,1K FC,5,10,8,0
87,Adrià Escribano,Kunisports,12,10,6,0
87,Ismael González,Rayo de Barcelona,8,10,3,0
98,Gio Ferinu,Saiyans FC,12,9,5,1
98,Jacobo Liencres,xBuyer Team,12,9,6,1
98,Dani 'Mini Bartu' Ruiz,Kunisports,12,9,6,1
98,Álex 'Capi' Domingo,Jijantes FC,12,9,6,0
98,Daniel Plaza,Jijantes FC,12,9,5,0
98,Eric Lobato,PIO FC,11,9,6,0
98,Stelios Orgianos,Porcinos FC,12,9,4,0
105,Roger de la Villa,Jijantes FC,11,8,3,0
105,Mario Reyes,Ultimate Móstoles,13,8,2,0
105,Alberto Bueno,Ultimate Móstoles,3,8,6,0
105,Fran Rodríguez,Kunisports,11,8,7,0
105,Juan Pedro Nzo,Rayo de Barcelona,11,8,4,0
105,Marc Grifell,PIO FC,6,8,3,0
113,David Soriano,Los Troncos FC,11,7,3,0
113,Joan Canet,Ultimate Móstoles,10,7,7,0
113,Raúl Ledo,1K FC,11,7,4,0
113,Nico Pareja,Jijantes FC,7,7,3,0
113,Álex Cubedo,Los Troncos FC,8,7,3,0
113,Albert Dalmau,Rayo de Barcelona,11,7,2,2
113,Marc Pilar,Jijantes FC,11,7,3,1
113,Manuel Linares,Jijantes FC,10,7,5,0
113,John Neeskens,El Barrio,1,7,4,0
125,Lluís Alsina,Los Troncos FC,7,6,4,0
125,Aarón Ropero,1K FC,12,6,5,0
125,Ian González,Kunisports,11,6,2,0
125,Carlos Torrentbó,Porcinos FC,9,6,3,0
125,Eloy Pizarro,Aniquiladores FC,12,6,2,0
125,Alberto Arnalot,Rayo de Barcelona,10,6,2,0
125,Carlos Ferres,Los Troncos FC,11,6,3,0
125,Eric Simó,xBuyer Team,11,6,3,0
125,Mario 'Lepetit' Rodríguez,xBuyer Team,8,6,5,0
125,Sergio 'Chechi' Costa,Rayo de Barcelona,7,6,2,0
136,Jordi Ros,1K FC,11,5,2,0
136,Adrià 'Capi' Gutiérrez,Porcinos FC,6,5,4,0
136,Josep Corderas,Rayo de Barcelona,5,5,2,1
136,Marc Valiente,El Barrio,8,5,2,0
136,Pablo Saborido,El Barrio,11,5,4,0
142,David Alba,Aniquiladores FC,7,4,3,0
142,Pau 'ZZ' Ruiz,Rayo de Barcelona,11,4,3,0
142,Daniel Pérez,Rayo de Barcelona,11,4,2,0
142,Marcos Guerrero,Rayo de Barcelona,2,4,1,0
142,David Sánchez,Rayo de Barcelona,6,4,3,0
142,Sergio Juste,Saiyans FC,8,4,1,0
142,David Gallego,Saiyans FC,1,4,2,1
142,Carlos Javier Acuña,1K FC,1,4,3,0
142,Nicolás García,Jijantes FC,2,4,2,0
142,Karim Moya,El Barrio,1,4,1,0
142,Albert López,Jijantes FC,1,4,3,0
154,Sergi Aguilar,xBuyer Team,8,3,2,0
154,Dani Pérez,PIO FC,4,3,3,0
154,Joel Bañuls,PIO FC,6,3,0,1
154,Adrián Lledó,Porcinos FC,1,3,1,0
154,Álex Medina,Aniquiladores FC,4,3,2,0
154,Oscar Gironés,Saiyans FC,7,3,2,0
154,Michel Owono,Rayo de Barcelona,4,3,1,0
162,Sergio Sánchez,Porcinos FC,11,2,2,0
162,Jandro Megía,PIO FC,4,2,2,0
162,Isaac Serna,1K FC,10,2,1,0
162,Nauzet Hernández,Rayo de Barcelona,8,2,1,1
162,Mikel Rico,Porcinos FC,3,2,2,0
162,Pau Baró,Los Troncos FC,1,2,2,0
162,Gabriel López,Saiyans FC,4,2,1,0
170,Iván Fajardo,Saiyans FC,1,1,1,0
170,Noel López,PIO FC,7,1,1,0
170,Lucca Ribeiro,El Barrio,5,1,0,0
170,Daniel Santiago,xBuyer Team,11,1,1,0
170,José 'Casi' Ruiz,1K FC,2,1,0,0
170,Cristian Faura,Kunisports,12,1,1,0
170,Juan Lorente,Aniquiladores FC,2,1,0,0
170,Rafa Leva,El Barrio,12,1,1,0
170,Juan De Dios Martínez,Porcinos FC,5,1,1,0
170,Roger Panadés,El Barrio,3,1,1,0
170,David Reyes,Los Troncos FC,1,1,0,0
170,Matteo Perrotti,Ultimate Móstoles,1,1,1,0
170,Albert Massegú,Saiyans FC,1,1,1,0
