Ranking,Name,Team,PM,F.Com
1,Mohamed Boullouh,Rayo de Barcelona,10,20
2,Adrián Espinar,Saiyans FC,12,16
2,David Pérez Picón,xBuyer Team,12,16
4,Aitor Vives,Saiyans FC,11,14
5,Diego Jiménez,Los Troncos FC,11,13
6,Jordi Gómez,Los Troncos FC,9,12
6,Hichem Boumedol,Aniquiladores FC,12,12
6,Carlos Martínez,Jijantes FC,9,12
9,Pablo Beguer,xBuyer Team,12,11
9,Aleix Lage,Ultimate Móstoles,10,11
9,Nico Santos,1K FC,11,11
12,Edgar Álvaro,Aniquiladores FC,13,10
12,Daniel Pérez,Rayo de Barcelona,11,10
12,Martín Mantovani,Aniquiladores FC,13,10
15,Hugo Fraile,Aniquiladores FC,13,9
15,Mohsine El Haji,1K FC,8,9
17,Aarón Ropero,1K FC,12,8
17,Guillem 'ZZ' Ruiz,Kunisports,11,8
17,Román Alegre,El Barrio,10,8
17,Dani Liñares,Ultimate Móstoles,14,8
17,Víctor Oribe,xBuyer Team,12,8
17,Dani 'Mini Bartu' Ruiz,Kunisports,12,8
17,Eloy Pizarro,Aniquiladores FC,12,8
17,Gerard Oliva,Rayo de Barcelona,11,8
25,Gabriel Cichero,Kunisports,12,7
25,Jacobo Liencres,xBuyer Team,12,7
25,Oriol Boada,Los Troncos FC,9,7
25,Carles Planas,Los Troncos FC,11,7
25,Álvaro Arché,Kunisports,12,7
25,Nadir Louah,Porcinos FC,12,7
25,Sergi Gestí,Ultimate Móstoles,14,7
25,Iker González,PIO FC,9,7
25,Alberto de la Bella,Ultimate Móstoles,14,7
25,Juan Antonio Gallego,Saiyans FC,12,7
35,Gio Ferinu,Saiyans FC,12,6
35,Feliu Torrus,1K FC,12,6
35,Pau 'ZZ' Ruiz,Rayo de Barcelona,11,6
35,Juanma González,xBuyer Team,10,6
35,Daniel Santiago,xBuyer Team,11,6
35,Mark Sorroche,El Barrio,12,6
35,Javi Espinosa,Aniquiladores FC,13,6
35,Fuad El Amrani,xBuyer Team,12,6
35,Pablo Fernández,PIO FC,11,6
35,Álex 'Capi' Domingo,Jijantes FC,12,6
35,Pablo Saborido,El Barrio,11,6
35,Franco Romero,Kunisports,12,6
35,Facu Romero,Kunisports,10,6
48,David Soriano,Los Troncos FC,11,5
48,Carlos Val,Aniquiladores FC,13,5
48,Mario Reyes,Ultimate Móstoles,13,5
48,Ian González,Kunisports,11,5
48,Marc Granero,Ultimate Móstoles,14,5
48,Marc Pluvins,El Barrio,12,5
48,Dani Martí,Jijantes FC,9,5
48,Pol Román,Kunisports,11,5
