Ranking,Name,Team,PM,F.Com
48,Sergio Juste,Saiyans FC,8,5
48,Marc Valiente,El Barrio,8,5
48,Eric Lobato,PIO FC,11,5
48,Xavi Pluvins,El Barrio,9,5
60,Álex Campuzano,PIO FC,10,4
60,Sergio Sánchez,Porcinos FC,11,4
60,Joan Verdú,Los Troncos FC,11,4
60,Iñaki Villalba,El Barrio,6,4
60,Carlos Omabegho,Kunisports,11,4
60,Diego de la Mata,Ultimate Móstoles,14,4
60,Adri Gimeno,xBuyer Team,11,4
60,Fernando Velillas,PIO FC,6,4
60,Gerard Nolla,Porcinos FC,11,4
60,Antoni Hernández,El Barrio,10,4
60,Aleix Martí,Rayo de Barcelona,10,4
60,Nil Ayats,Jijantes FC,9,4
60,Adrià Escribano,Kunisports,12,4
60,Iker Alcarazo,xBuyer Team,11,4
60,Adrián Frutos,Porcinos FC,12,4
60,Marc Pilar,Jijantes FC,11,4
60,Stelios Orgianos,Porcinos FC,12,4
60,Robert Vallribera,El Barrio,12,4
60,Oscar Gironés,Saiyans FC,7,4
60,Iván Torres,Porcinos FC,9,4
80,Noel López,PIO FC,7,3
80,Iván López 'Cokita',Saiyans FC,12,3
80,Marc Pelaz,Porcinos FC,12,3
80,Franky Purtí,1K FC,11,3
80,Lucca Ribeiro,El Barrio,5,3
80,Marcos Guerrero,Rayo de Barcelona,2,3
80,Víctor Mongil,1K FC,12,3
80,Jandro Megía,PIO FC,4,3
80,Gerard Vacas,Porcinos FC,9,3
80,Óscar Coll,Porcinos FC,12,3
80,Joel Navas,PIO FC,9,3
80,Juan Pedro Nzo,Rayo de Barcelona,11,3
80,Isaac Serna,1K FC,10,3
80,Pol Ortega,Jijantes FC,12,3
80,Sergio 'Chechi' Costa,Rayo de Barcelona,7,3
80,Michel Owono,Rayo de Barcelona,4,3
96,David Alba,Aniquiladores FC,7,2
96,Gilles Vidal,Porcinos FC,6,2
96,Cristian Ubón,El Barrio,12,2
96,Lluís Alsina,Los Troncos FC,7,2
96,Pol Lechuga,1K FC,12,2
96,Àlex Gutiérrez,Los Troncos FC,7,2
96,Joel Bañuls,PIO FC,6,2
96,Carlos Torrentbó,Porcinos FC,9,2
96,Víctor Cócera,Aniquiladores FC,11,2
96,Ferran Corominas,Ultimate Móstoles,9,2
96,Raúl Ledo,1K FC,11,2
96,Gerard Verge,1K FC,4,2
96,Jero Martín,Saiyans FC,12,2
96,Álex Cubedo,Los Troncos FC,8,2
96,Isaac Maldonado,Saiyans FC,10,2
96,Carlos Ferres,Los Troncos FC,11,2
96,Eric Simó,xBuyer Team,11,2
96,Fran Rodríguez,Kunisports,11,2
96,Aleix Hernando,Ultimate Móstoles,14,2
96,Miraash Imthiyaz,Aniquiladores FC,13,2
96,Izan Espinosa,1K FC,12,2
96,Manuel Linares,Jijantes FC,10,2
96,Ismael González,Rayo de Barcelona,8,2
96,Luis García,PIO FC,10,2
96,Javi Gómez,Rayo de Barcelona,1,2
122,Kilian Honorato,Ultimate Móstoles,13,1
122,Víctor Torres,Los Troncos FC,5,1
122,Roger de la Villa,Jijantes FC,11,1
122,Pau Fernández,Jijantes FC,11,1
122,Alberto Bueno,Ultimate Móstoles,3,1
122,Nico Pareja,Jijantes FC,7,1
122,Xavi Liébanas,Aniquiladores FC,13,1
122,José 'Casi' Ruiz,1K FC,2,1
122,Albert Dalmau,Rayo de Barcelona,11,1
122,David Sánchez,Rayo de Barcelona,6,1
122,Carlos Contreras,Saiyans FC,8,1
122,Adrián Olivares,Rayo de Barcelona,3,1
122,Cristian Faura,Kunisports,12,1
122,Daniel Plaza,Jijantes FC,12,1
122,Mario 'Lepetit' Rodríguez,xBuyer Team,8,1
122,Juan Lorente,Aniquiladores FC,2,1
122,Rafa Leva,El Barrio,12,1
122,Nauzet Hernández,Rayo de Barcelona,8,1
122,Marc Grifell,PIO FC,6,1
122,Alexander Szymanowski,1K FC,6,1
122,Pau Baró,Los Troncos FC,1,1
122,Gabriel López,Saiyans FC,4,1
122,Nicolás García,Jijantes FC,2,1
122,Karim Moya,El Barrio,1,1
