Ranking,Name,Team,PM,F.Com
67,Dani Martí,Ultimate Móstoles,12,5
67,Marc Valiente,El Barrio,9,5
67,Hichem Boumedol,Aniquiladores FC,11,5
67,Aleix Hernando,Porcinos FC,12,5
67,Daniel Plaza,Saiyans FC,8,5
67,Roger Serrano,El Barrio,12,5
67,Sergio 'Chechi' Costa,xBuyer Team,7,5
78,Gio Ferinu,Saiyans FC,11,4
78,Cristian Ubón,Ultimate Móstoles,12,4
78,Joan Verdú,Los Troncos FC,12,4
78,Aarón Ropero,PIO FC,11,4
78,Carlos Torrentbó,Kunisports,10,4
78,David López,PIO FC,10,4
78,Dani Liñares,Saiyans FC,11,4
78,Dani 'Mini Bartu' Ruiz,PIO FC,6,4
78,Abraham González,Rayo de Barcelona,7,4
78,Nil Ayats,Jijantes FC,14,4
78,Sergio Juste,Jijantes FC,9,4
78,Pere Martínez,xBuyer Team,4,4
78,Kelvin Oliveira,Porcinos FC,2,4
78,Álex 'Capi' Domingo,Ultimate Móstoles,12,4
78,Cristian Faura,PIO FC,10,4
78,David Pérez Picón,xBuyer Team,5,4
78,Stelios Orgianos,Kunisports,11,4
78,Nauzet Hernández,Saiyans FC,11,4
78,Acorán Barrera,Rayo de Barcelona,3,4
97,Kilian Honorato,Ultimate Móstoles,11,3
97,Víctor Torres,xBuyer Team,12,3
97,Marc Pelaz,Jijantes FC,14,3
97,Mario Reyes,Aniquiladores FC,12,3
97,Franky Purtí,Rayo de Barcelona,11,3
97,Lucca Ribeiro,Saiyans FC,8,3
97,Raúl Ledo,1K FC,9,3
97,Aleix Martí,Ultimate Móstoles,11,3
97,Andreas Vaz,Porcinos FC,2,3
97,Miraash Imthiyaz,1K FC,11,3
97,Juan Pedro Nzo,Rayo de Barcelona,8,3
97,Marc Pilar,Jijantes FC,14,3
97,Xavi Pluvins,El Barrio,9,3
97,Robert Vallribera,Kunisports,8,3
97,Isaac Padilla,Los Troncos FC,4,3
112,Álex Campuzano,Kunisports,11,2
112,Roger Carbó,xBuyer Team,7,2
112,Jordi Ros,Aniquiladores FC,13,2
112,Roger de la Villa,Rayo de Barcelona,5,2
112,Iñaki Villalba,Kunisports,7,2
112,Marcos Guerrero,1K FC,9,2
112,Román Alegre,Rayo de Barcelona,7,2
112,Sergio 'Kun' Agüero,Kunisports,4,2
112,Jandro Megía,PIO FC,3,2
112,Sergi Gestí,Saiyans FC,5,2
112,Adrià Escribano,Porcinos FC,10,2
112,Carlos Ferres,Los Troncos FC,12,2
112,Xabier Apalategi,Aniquiladores FC,7,2
112,Isaac Serna,Porcinos FC,5,2
112,Luis García,Jijantes FC,10,2
112,Pol Ortega,Saiyans FC,6,2
112,Daniel Cáceres,Kunisports,2,2
112,Genís Soldevila,Jijantes FC,1,2
112,Roger Panadés,xBuyer Team,3,2
112,Guillem Jaime,Rayo de Barcelona,3,2
112,Raúl Juliá,Kunisports,2,2
133,Marc Briones,PIO FC,11,1
133,Iván Fajardo,Saiyans FC,3,1
133,Dani Pérez,Saiyans FC,10,1
133,Pol Lechuga,Rayo de Barcelona,11,1
133,Pau Fernández,El Barrio,12,1
133,Nacho Berché,Aniquiladores FC,7,1
133,Joel Bañuls,Ultimate Móstoles,12,1
133,Víctor Cócera,Kunisports,10,1
133,Xavi Liébanas,Aniquiladores FC,2,1
133,Manuel Martín,Los Troncos FC,12,1
133,Álex Cubedo,Los Troncos FC,5,1
133,Eloy Amoedo,Aniquiladores FC,9,1
133,Iker González,El Barrio,12,1
133,Isaac Maldonado,Rayo de Barcelona,5,1
133,Pablo Hernández,Ultimate Móstoles,2,1
133,Fran Rodríguez,Los Troncos FC,11,1
133,Eric Lobato,1K FC,8,1
133,Xavi Fabra,PIO FC,5,1
133,Álex Medina,xBuyer Team,11,1
133,Pablo López,Jijantes FC,7,1
133,Borja Mir,Los Troncos FC,3,1
133,Marc Grifell,Jijantes FC,5,1
133,Toni Cunill,El Barrio,1,1
133,Alex Llamas,Rayo de Barcelona,1,1
