Ranking,Name,Team,PM,F.Com
1,Jordi Gómez,Kunisports,10,18
2,Fuad El Amrani,xBuyer Team,14,16
2,Aitor Vives,Los Troncos FC,12,16
4,Álvaro Arché,El Barrio,12,14
5,David Soriano,Porcinos FC,12,12
6,Nico Santos,Porcinos FC,11,11
6,Yuri de Souza,Rayo de Barcelona,11,11
8,Gilles Vidal,El Barrio,12,10
8,Jacobo Liencres,PIO FC,8,10
8,Guillem 'ZZ' Ruiz,Aniquiladores FC,13,10
8,Ian González,Los Troncos FC,12,10
8,Diego de la Mata,Ultimate Móstoles,12,10
8,Diego Jiménez,Porcinos FC,12,10
14,Oriol Boada,El Barrio,12,9
14,Nadir Louah,Porcinos FC,10,9
14,Augusto Fernández,Saiyans FC,9,9
14,José 'Casi' Ruiz,Aniquiladores FC,12,9
14,David Sánchez,Rayo de Barcelona,11,9
14,Pablo Fernández,Saiyans FC,11,9
14,Adrián Frutos,Jijantes FC,13,9
14,Antonio 'Ñito' Martín,El Barrio,10,9
14,Alexander Gastón,Kunisports,6,9
23,Pablo Beguer,Jijantes FC,13,8
23,Pau 'ZZ' Ruiz,El Barrio,9,8
23,Edgar Álvaro,Los Troncos FC,11,8
23,Noel López,Kunisports,10,8
23,Carles Planas,Los Troncos FC,10,8
23,Carlos Val,Kunisports,11,8
23,Aleix Lage,Ultimate Móstoles,12,8
23,Marc Pluvins,1K FC,8,8
23,Iván Pérez,Kunisports,11,8
23,Fernando Velillas,Jijantes FC,14,8
23,Alfons Serra,Saiyans FC,11,8
23,Adrián Espinar,Jijantes FC,14,8
23,Pol Román,Rayo de Barcelona,11,8
23,Iker Alcarazo,xBuyer Team,14,8
23,Alberto de la Bella,Ultimate Móstoles,10,8
23,Izan Espinosa,Los Troncos FC,9,8
23,David de la Víbora,1K FC,11,8
23,Mikel Rico,Porcinos FC,12,8
41,Sergio Sánchez,Los Troncos FC,11,7
41,Iván López 'Cokita',PIO FC,11,7
41,Àlex Gutiérrez,Porcinos FC,12,7
41,Ferran Corominas,Ultimate Móstoles,11,7
41,Mark Sorroche,Los Troncos FC,12,7
41,Javi Espinosa,Aniquiladores FC,13,7
41,Fran Hernández,Aniquiladores FC,13,7
41,Nico Pareja,Rayo de Barcelona,6,7
41,Martín Mantovani,Saiyans FC,10,7
41,Víctor Mongil,PIO FC,11,7
41,Víctor Oribe,xBuyer Team,10,7
41,Jero Martín,PIO FC,11,7
53,David Alba,Aniquiladores FC,13,6
53,Juanma González,xBuyer Team,14,6
53,Daniel Santiago,Rayo de Barcelona,10,6
53,Marc Granero,1K FC,11,6
53,Carlos Omabegho,PIO FC,11,6
53,Gerard Nolla,Porcinos FC,10,6
53,Gabriel Vidal,Aniquiladores FC,8,6
53,Eloy Pizarro,Ultimate Móstoles,11,6
53,Albert Dalmau,1K FC,11,6
53,Carlos Contreras,xBuyer Team,14,6
53,Pablo Gómez,PIO FC,6,6
53,Ao Kishimoto,Rayo de Barcelona,10,6
53,Paco Tomás,1K FC,11,6
53,Aridai Cabrera,PIO FC,9,6
67,Feliu Torrus,Jijantes FC,13,5
67,Lluís Alsina,1K FC,11,5
67,Daniel Pérez,xBuyer Team,14,5
67,Hugo Fraile,Aniquiladores FC,13,5
