Ranking,Name,Team,Pl,G.En,Ratio
1,José Segovia,JFC,0,11,1.83
1,Dani Pérez,SAI,0,11,2.20
3,Adrià 'Capi' Gutiérrez,XBU,0,10,1.67
3,Víctor Vidal,ULT,8,10,1.25
9,Víctor Cócera,KNS,0,8,2.00
9,Marc Briones,POR,7,8,1.14
13,Jorge Ibáñez,PIO,0,7,1.75
14,Manuel Martín,TFC,0,6,1.20
14,Pol Lechuga,RDB,0,6,1.20
19,Gerard Vacas,ELB,0,5,0.83
23,Sergi Aguilar,KNS,0,4,1.33
23,Alex García,PIO,0,4,2.00
23,Álex Romero,XBU,0,4,1.00
