Ranking,Name,Team,PM,Sav.,GC,Pen.R,PSO.R
1,Dani Pérez,Aniquiladores FC,14,102,35,0,9
2,Marc Briones,Saiyans FC,12,92,19,1,8
3,Pol Lechuga,Los Troncos FC,13,83,34,1,4
4,Pol Zapata,Jijantes FC,10,81,33,1,0
4,Adrià 'Capi' Gutiérrez,xBuyer Team,12,81,28,0,3
6,Ricardo López,1K FC,10,73,30,0,1
7,Víctor Cócera,Kunisports,11,71,18,1,4
8,José Segovia,Porcinos FC,12,70,28,0,2
9,José Juan Figueiras,El Barrio,13,60,27,0,0
10,Jorge Ibáñez,PIO FC,9,58,19,0,6
11,Iu Morral,Ultimate Móstoles,8,53,15,1,0
12,Joan Canet,Rayo de Barcelona,10,45,34,0,0
13,Nacho Berché,Ultimate Móstoles,7,26,12,0,1
14,Mario León,Jijantes FC,3,19,7,0,0
15,Sergio Ródenas,Kunisports,3,8,4,0,0
16,Marc Arús,Los Troncos FC,3,7,2,0,0
17,Iván Fajardo,Saiyans FC,4,6,5,0,0
18,Sergi Aguilar,Porcinos FC,3,2,0,0,1
19,Xavi Morales,Aniquiladores FC,3,1,2,0,0
