Ranking,Name,Team,PM,Sav.,GC,Pen.R,PSO.R
1,Víctor Vidal,Ultimate Móstoles,14,114,21,1,8
2,Alberto Arnalot,1K FC,12,107,35,0,6
3,José Segovia,Jijantes FC,13,100,32,4,5
4,Dani Pérez,Saiyans FC,14,97,29,1,5
5,Jorge Ibáñez,PIO FC,11,67,38,1,1
6,Pol Zapata,Aniquiladores FC,12,65,36,1,4
7,Gerard Vacas,El Barrio,12,61,36,1,1
8,Josep Corderas,Los Troncos FC,10,58,16,0,0
9,Pol Lechuga,Rayo de Barcelona,9,54,30,3,6
10,Marc Briones,Porcinos FC,9,48,31,4,0
11,Álex Romero,xBuyer Team,10,45,23,0,3
12,Víctor Cócera,Kunisports,9,40,18,0,2
13,Sergi Aguilar,Kunisports,6,39,13,0,7
14,Adrià 'Capi' Gutiérrez,xBuyer Team,7,26,15,1,1
15,Eloy Amoedo,Porcinos FC,4,22,8,0,7
16,Manuel Martín,Los Troncos FC,5,18,9,0,1
17,Nacho Berché,Rayo de Barcelona,4,9,7,0,1
18,Iván Fajardo,Los Troncos FC,5,5,1,0,6
18,Mario León,Jijantes FC,3,5,1,0,0
