Ranking,Name,Team,PM,Sav.,GC,Pen.R,PSO.R
1,Jorge Ibáñez,PIO FC,12,84,40,1,0
2,José Segovia,Jijantes FC,12,81,34,1,2
3,Marc Briones,Porcinos FC,11,80,25,1,7
3,Dani Pérez,Saiyans FC,13,80,43,1,1
5,Nacho Berché,Rayo de Barcelona,11,70,35,1,4
6,Pol Zapata,Aniquiladores FC,12,69,24,1,5
7,Sergi Aguilar,El Barrio,14,68,28,3,5
8,Adrià 'Capi' Gutiérrez,xBuyer Team,13,66,30,2,3
9,Pol Lechuga,Ultimate Móstoles,12,65,33,0,6
10,Víctor Cócera,Kunisports,12,64,39,2,2
11,Ricardo López,1K FC,11,56,34,0,4
12,Iu Morral,Los Troncos FC,10,38,18,0,3
13,Josep Corderas,Los Troncos FC,9,30,21,1,0
14,Joan Canet,1K FC,4,12,14,0,0
15,Mario León,Jijantes FC,1,11,3,0,1
16,Iván Fajardo,El Barrio,4,8,6,0,0
16,Xavi Morales,Aniquiladores FC,3,8,6,0,0
19,Marc Arús,xBuyer Team,3,5,2,1,0
19,Alex García,Porcinos FC,5,5,2,1,0
21,Sergio Ródenas,Rayo de Barcelona,2,1,0,0,0
