Ranking,Name,Team,PM,Drib
78,Alexander Szymanowski,1K FC,6,6
78,Gerard Oliva,Rayo de Barcelona,11,6
78,Albert López,Jijantes FC,1,6
88,Mario Reyes,Ultimate Móstoles,13,5
88,Daniel Pérez,Rayo de Barcelona,11,5
88,Álex Cubedo,Los Troncos FC,8,5
88,Víctor Vidal,Jijantes FC,12,5
88,Daniel Plaza,Jijantes FC,12,5
88,Aridai Cabrera,PIO FC,4,5
88,David Reyes,Los Troncos FC,1,5
88,Iván Torres,Porcinos FC,9,5
96,Marc Briones,Saiyans FC,12,4
96,Lluís Alsina,Los Troncos FC,7,4
96,Raúl Ledo,1K FC,11,4
96,Jordi Gómez,Los Troncos FC,9,4
96,Mario 'Lepetit' Rodríguez,xBuyer Team,8,4
96,Marc Pilar,Jijantes FC,11,4
96,Sergio 'Chechi' Costa,Rayo de Barcelona,7,4
96,Pau Baró,Los Troncos FC,1,4
104,Gio Ferinu,Saiyans FC,12,3
104,Aleix Lage,Ultimate Móstoles,10,3
104,Martín Mantovani,Aniquiladores FC,13,3
104,Eloy Pizarro,Aniquiladores FC,12,3
104,David Gallego,Saiyans FC,1,3
104,Isaac Serna,1K FC,10,3
104,Mikel Rico,Porcinos FC,3,3
104,Marc Grifell,PIO FC,6,3
112,Kilian Honorato,Ultimate Móstoles,13,2
112,Jacobo Liencres,xBuyer Team,12,2
112,Noel López,PIO FC,7,2
112,Carles Planas,Los Troncos FC,11,2
112,Aarón Ropero,1K FC,12,2
112,Lucca Ribeiro,El Barrio,5,2
112,Joel Bañuls,PIO FC,6,2
112,Nico Pareja,Jijantes FC,7,2
112,Jandro Megía,PIO FC,4,2
112,Adrià Escribano,Kunisports,12,2
112,Iker Alcarazo,xBuyer Team,11,2
112,Daniel Santoro,Ultimate Móstoles,1,2
112,Lorenzo Berra,PIO FC,1,2
112,Cristian Faura,Kunisports,12,2
112,David Pérez Picón,xBuyer Team,12,2
112,Raúl Manzano Salazar,Aniquiladores FC,2,2
112,Ismael González,Rayo de Barcelona,8,2
112,Roger Panadés,El Barrio,3,2
112,Michel Owono,Rayo de Barcelona,4,2
112,Javi Gómez,Rayo de Barcelona,1,2
112,Karim Moya,El Barrio,1,2
133,Álex Campuzano,PIO FC,10,1
133,David Alba,Aniquiladores FC,7,1
133,Dani Pérez,PIO FC,4,1
133,Jordi Ros,1K FC,11,1
133,Jorge Ibáñez,Kunisports,12,1
133,Ian González,Kunisports,11,1
133,Iñaki Villalba,El Barrio,6,1
133,Adri Gimeno,xBuyer Team,11,1
133,Víctor Mongil,1K FC,12,1
133,Dani Martí,Jijantes FC,9,1
133,Albert Dalmau,Rayo de Barcelona,11,1
133,Eloy Amoedo,Los Troncos FC,11,1
133,Iker González,PIO FC,9,1
133,Sergio Juste,Saiyans FC,8,1
133,Adrián Lledó,Porcinos FC,1,1
133,Hugo Eyre,El Barrio,12,1
133,Álex Medina,Aniquiladores FC,4,1
133,Ian Benamon,El Barrio,1,1
133,Dani Parra,PIO FC,7,1
133,Gabriel López,Saiyans FC,4,1
133,Nicolás García,Jijantes FC,2,1
133,John Neeskens,El Barrio,1,1
