Ranking,Name,Team,PM,Drib
1,Mohamed Boullouh,Rayo de Barcelona,10,74
2,Fuad El Amrani,xBuyer Team,12,57
2,Juan Antonio Gallego,Saiyans FC,12,57
4,Javi Espinosa,Aniquiladores FC,13,42
5,Pablo Beguer,xBuyer Team,12,39
6,Carlos Omabegho,Kunisports,11,36
7,Mohsine El Haji,1K FC,8,33
8,Edgar Álvaro,Aniquiladores FC,13,29
9,Pol Ortega,Jijantes FC,12,28
10,Aleix Martí,Rayo de Barcelona,10,24
11,Marc Granero,Ultimate Móstoles,14,23
11,Diego de la Mata,Ultimate Móstoles,14,23
11,Pablo Fernández,PIO FC,11,23
14,Nico Santos,1K FC,11,22
14,Facu Romero,Kunisports,10,22
16,Cristian Ubón,El Barrio,12,21
16,Gerard Verge,1K FC,4,21
16,Gerard Nolla,Porcinos FC,11,21
16,Jero Martín,Saiyans FC,12,21
16,Franco Romero,Kunisports,12,21
21,Gilles Vidal,Porcinos FC,6,20
21,Robert Vallribera,El Barrio,12,20
21,Carlos Martínez,Jijantes FC,9,20
24,Álvaro Arché,Kunisports,12,18
24,Antoni Hernández,El Barrio,10,18
26,Marc Pelaz,Porcinos FC,12,17
27,Dani Liñares,Ultimate Móstoles,14,16
27,Fran Rodríguez,Kunisports,11,16
29,Feliu Torrus,1K FC,12,15
29,Joan Verdú,Los Troncos FC,11,15
29,Fernando Velillas,PIO FC,6,15
29,Isaac Maldonado,Saiyans FC,10,15
33,Franky Purtí,1K FC,11,14
33,Juanma González,xBuyer Team,10,14
33,Adrián Espinar,Saiyans FC,12,14
36,Nadir Louah,Porcinos FC,12,13
36,Aitor Vives,Saiyans FC,11,13
36,Víctor Oribe,xBuyer Team,12,13
36,Pablo Saborido,El Barrio,11,13
36,Luis García,PIO FC,10,13
41,Román Alegre,El Barrio,10,12
41,Sergi Gestí,Ultimate Móstoles,14,12
41,Aleix Hernando,Ultimate Móstoles,14,12
41,Diego Jiménez,Los Troncos FC,11,12
45,Carlos Val,Aniquiladores FC,13,11
45,Dani 'Mini Bartu' Ruiz,Kunisports,12,11
45,Álex 'Capi' Domingo,Jijantes FC,12,11
45,Manuel Linares,Jijantes FC,10,11
49,Roger de la Villa,Jijantes FC,11,10
49,Iván López 'Cokita',Saiyans FC,12,10
49,Guillem 'ZZ' Ruiz,Kunisports,11,10
49,Mark Sorroche,El Barrio,12,10
49,Marc Pluvins,El Barrio,12,10
49,Nil Ayats,Jijantes FC,9,10
49,Alberto de la Bella,Ultimate Móstoles,14,10
49,Miraash Imthiyaz,Aniquiladores FC,13,10
49,Eric Lobato,PIO FC,11,10
49,Stelios Orgianos,Porcinos FC,12,10
59,Gabriel Cichero,Kunisports,12,9
59,Oriol Boada,Los Troncos FC,9,9
59,David Soriano,Los Troncos FC,11,9
59,Àlex Gutiérrez,Los Troncos FC,7,9
59,Carlos Torrentbó,Porcinos FC,9,9
59,Carlos Corvo,1K FC,5,9
59,Carlos Contreras,Saiyans FC,8,9
59,Eric Simó,xBuyer Team,11,9
59,Juan Pedro Nzo,Rayo de Barcelona,11,9
59,Xavi Pluvins,El Barrio,9,9
69,Hichem Boumedol,Aniquiladores FC,12,8
69,Izan Espinosa,1K FC,12,8
69,Joel Navas,PIO FC,9,8
69,Nauzet Hernández,Rayo de Barcelona,8,8
69,Oscar Gironés,Saiyans FC,7,8
74,Sergio Sánchez,Porcinos FC,11,7
74,Ferran Corominas,Ultimate Móstoles,9,7
74,Hugo Fraile,Aniquiladores FC,13,7
74,Óscar Coll,Porcinos FC,12,7
78,Pau 'ZZ' Ruiz,Rayo de Barcelona,11,6
78,Pau Fernández,Jijantes FC,11,6
78,Alberto Bueno,Ultimate Móstoles,3,6
78,Xavi Liébanas,Aniquiladores FC,13,6
78,Pol Román,Kunisports,11,6
78,Carlos Ferres,Los Troncos FC,11,6
78,Adrián Frutos,Porcinos FC,12,6
