Ranking,Name,Team,PM,Y.C.,R.C.
1,Lluís Alsina,Jijantes FC,9,3,0
2,Gabriel Cichero,Porcinos FC,12,2,0
2,Raúl Lao,Porcinos FC,12,2,0
2,Gio Ferinu,Saiyans FC,11,2,0
2,Joan Poch,xBuyer Team,12,2,1
2,Joel Bañuls,xBuyer Team,12,2,0
2,Javi Espinosa,Porcinos FC,12,2,0
2,Román Golobart,Jijantes FC,5,2,0
2,Alberto Lopo,PIO FC,10,2,0
10,Álex Campuzano,Saiyans FC,12,1,1
10,Cristian Valle,Saiyans FC,11,1,0
10,Víctor Torres,Saiyans FC,13,1,1
10,Feliu Torrus,Saiyans FC,13,1,0
10,Roger Carbó,Saiyans FC,13,1,0
10,Joan Capdevila,Saiyans FC,7,1,0
10,Andrés Serrano,Aniquiladores FC,6,1,0
10,Jadir Cirera,Aniquiladores FC,6,1,0
10,Jacobo Liencres,El Barrio,13,1,0
10,Pablo Beguer,El Barrio,13,1,0
10,Pau 'ZZ' Ruiz,El Barrio,13,1,0
10,Oriol Boada,El Barrio,11,1,0
10,Jay Mengeli,Jijantes FC,7,1,0
10,Raúl Dorado,Jijantes FC,11,1,0
10,David Soriano,Los Troncos FC,13,1,0
10,Noel López,Los Troncos FC,11,1,0
10,Xavi Molas,Los Troncos FC,13,1,0
10,Raúl Martínez,Los Troncos FC,10,1,0
10,Carlos Val,PIO FC,10,1,0
10,Pau Fernández,PIO FC,10,1,0
10,Bernat Juárez,PIO FC,5,1,0
10,Iván López 'Cokita',PIO FC,10,1,0
10,Franky Purtí,Rayo de Barcelona,10,1,0
10,Daniel Pérez,Rayo de Barcelona,10,1,0
10,Álvaro Arché,Ultimate Móstoles,12,1,0
10,Aleix Lage,Ultimate Móstoles,12,1,0
10,Llur Genesca,Ultimate Móstoles,10,1,0
10,Ian González,Ultimate Móstoles,12,1,0
10,Steven Rodríguez,Ultimate Móstoles,5,1,0
10,Juanma González,Ultimate Móstoles,12,1,0
10,Iñaki Villalba,xBuyer Team,12,1,0
10,Daniel Santiago,xBuyer Team,12,1,0
10,Marc Granero,xBuyer Team,12,1,0
10,Carlos Torrentbó,Kunisports,12,1,0
10,Víctor Cócera,Kunisports,11,1,0
10,Joan Inés,Kunisports,10,1,0
10,Flavio Ruggeri,Kunisports,12,1,0
10,Miki Fernández,Kunisports,12,1,0
10,Román Alegre,1K FC,10,1,0
10,Mark Sorroche,1K FC,10,1,0
10,Raúl Ledo,1K FC,10,1,0
10,Sergi Sauras,1K FC,9,1,0
10,Bruno Gumà,1K FC,10,1,0
10,Ruben G. Tremiño,1K FC,10,1,0
10,Dídac Vilà,Rayo de Barcelona,8,1,0
10,Alberto Bueno,1K FC,10,1,0
10,Cristian Saldaña,Saiyans FC,4,1,0
10,Uri Pons,Porcinos FC,8,1,0
10,Nico Pareja,El Barrio,5,1,0
10,Ismael Cabello,PIO FC,4,1,0
