Ranking,Name,Team,PM,Y.C.,R.C.
1,Augusto Fernández,Saiyans FC,13,3,0
2,Pau 'ZZ' Ruiz,El Barrio,11,2,0
2,Lluís Alsina,1K FC,10,2,0
2,Sergio Sánchez,Los Troncos FC,13,2,0
2,Daniel Pérez,xBuyer Team,13,2,0
2,Nadir Louah,Porcinos FC,13,2,0
2,Martín Mantovani,Saiyans FC,14,2,0
2,Carlos Omabegho,PIO FC,11,2,0
2,Alberto Lopo,PIO FC,9,2,0
2,Nando Quesada,Jijantes FC,13,2,0
11,José Segovia,Jijantes FC,13,1,0
11,Gio Ferinu,Saiyans FC,14,1,0
11,Gilles Vidal,El Barrio,12,1,0
11,Jacobo Liencres,Porcinos FC,13,1,0
11,Joel Macarulla,Aniquiladores FC,12,1,0
11,David Soriano,Porcinos FC,13,1,0
11,Carlos Val,Kunisports,12,1,0
11,Aarón Ropero,PIO FC,11,1,0
11,Mario Reyes,Aniquiladores FC,12,1,0
11,Ian González,Los Troncos FC,12,1,1
11,Joel Bañuls,Ultimate Móstoles,14,1,0
11,Carlos Torrentbó,Kunisports,6,1,0
11,Flavio Ruggeri,PIO FC,11,1,0
11,Marc Pluvins,1K FC,12,1,0
11,Nico Pareja,Kunisports,8,1,0
11,Carlitos González,Porcinos FC,4,1,0
11,Iván Pérez,Kunisports,12,1,0
11,Fernando Velillas,xBuyer Team,13,1,0
11,Gerard 'Hulk' Artigas,Porcinos FC,7,1,0
11,Dani Martí,Ultimate Móstoles,14,1,0
11,Dani 'Mini Bartu' Ruiz,PIO FC,11,1,0
11,Abraham González,1K FC,12,1,0
11,Aleix Martí,Ultimate Móstoles,14,1,0
11,Alfons Serra,Saiyans FC,14,1,0
11,Alejandro Ortega,Aniquiladores FC,9,1,0
11,John de la Cruz,1K FC,11,1,0
11,Óscar Coll,Porcinos FC,13,1,0
11,Sergi Gestí,Saiyans FC,14,1,0
11,Adrià Escribano,Kunisports,12,1,0
11,Carlos Contreras,Jijantes FC,12,1,1
11,Víctor Vidal,Ultimate Móstoles,14,1,0
11,Godbless Eribo,Porcinos FC,10,1,1
11,Carlos Ferres,Los Troncos FC,13,1,0
11,Jordi Gómez,Kunisports,12,1,0
11,Iker Alcarazo,xBuyer Team,13,1,0
11,Óscar Contreras,Rayo de Barcelona,11,1,0
11,Adrián Frutos,Jijantes FC,13,1,0
11,Pere Martínez,xBuyer Team,8,1,0
11,Albert Dorca,xBuyer Team,3,1,1
11,Issey Nakajima-Farran,Rayo de Barcelona,1,1,0
11,Joel Paredes,Rayo de Barcelona,2,1,0
