Ranking,Name,Team,PM,Assist,KeyP
1,Javi Espinosa,Porcinos FC,12,10,5
2,Hugo Fraile,Porcinos FC,12,8,1
2,Pablo Beguer,xBuyer Team,14,8,7
2,Joan Verdú,Los Troncos FC,10,7,6
2,Mark Sorroche,Los Troncos FC,11,7,2
2,Marc Torrejón,1K FC,10,7,2
4,Joan Verdú,Los Troncos FC,10,7,6
5,Pablo Beguer,xBuyer Team,14,6,7
5,Hugo Fraile,Porcinos FC,12,6,1
7,Álvaro Arché,El Barrio,14,6,5
7,Alberto Bueno,Porcinos FC,12,5,7
8,Marc Briones,Porcinos FC,11,5,3
8,Alberto Bueno,Porcinos FC,12,5,7
8,Nadir Louah,Aniquiladores FC,13,5,6
8,Víctor Oribe,Saiyans FC,6,5,0
8,José Segovia,Jijantes FC,12,4,1
8,Marc Briones,Porcinos FC,11,4,3
8,Bernat Rovira,Aniquiladores FC,13,4,0
8,Gilles Vidal,El Barrio,14,4,2
8,Álvaro Arché,El Barrio,14,4,5
8,Marc Granero,1K FC,13,4,3
8,Ricardo López,1K FC,11,4,0
8,Fran Hernández,Aniquiladores FC,10,4,9
8,Nadir Louah,Aniquiladores FC,13,4,6
8,Víctor Mongil,Rayo de Barcelona,11,4,1
8,Tom Diawara,Jijantes FC,9,4,1
8,Víctor Oribe,Saiyans FC,6,4,0
12,Marc Granero,1K FC,13,4,3
12,Ferran Corominas,Kunisports,12,4,5
12,Marc Pluvins,PIO FC,12,4,1
12,Ricardo López,1K FC,11,4,0
12,Fernando Velillas,xBuyer Team,14,4,4
12,Víctor Mongil,Rayo de Barcelona,11,4,1
12,Tom Diawara,Jijantes FC,9,4,1
12,David López,Jijantes FC,12,4,0
12,Gilles Vidal,El Barrio,14,4,2
12,Edgar Álvaro,Rayo de Barcelona,10,4,1
12,Carles Planas,Los Troncos FC,10,4,0
20,David López,Jijantes FC,12,3,0
20,Roger Carbó,xBuyer Team,13,3,6
20,Edgar Álvaro,Rayo de Barcelona,10,3,1
20,Carles Planas,Los Troncos FC,10,3,0
20,Àlex Gutiérrez,Porcinos FC,5,3,0
20,Iñaki Villalba,Kunisports,12,3,2
20,Ferran Corominas,Kunisports,12,3,5
20,Nico Pareja,El Barrio,12,3,3
20,Carlos Corvo,PIO FC,12,3,1
20,Eric Jiménez,Rayo de Barcelona,11,3,5
20,Fernando Velillas,xBuyer Team,14,3,4
20,Nando Quesada,Jijantes FC,11,3,5
23,Iñaki Villalba,Kunisports,12,3,2
23,Fran Hernández,Aniquiladores FC,10,3,9
23,Nico Pareja,El Barrio,12,3,3
23,David Barral,1K FC,11,3,2
23,Roger Carbó,xBuyer Team,13,3,6
23,Bernat Rovira,Aniquiladores FC,13,3,0
23,Àlex Gutiérrez,Porcinos FC,5,3,0
23,Ian González,Los Troncos FC,9,3,3
31,José Segovia,Jijantes FC,12,2,1
31,Lucca Ribeiro,Saiyans FC,10,2,0
31,Juanma González,Ultimate Móstoles,9,2,1
31,Joel Bañuls,Ultimate Móstoles,12,2,1
31,Benjamín Sierra,Kunisports,12,2,2
31,Carlos Torrentbó,El Barrio,14,2,0
31,Marcos Guerrero,1K FC,13,2,4
31,Flavio Ruggeri,Porcinos FC,11,2,1
31,Román Alegre,Saiyans FC,8,2,2
31,Oscar Rivero,PIO FC,12,2,0
31,Ibai Gómez,Jijantes FC,2,2,1
31,Sergio 'Kun' Agüero,Kunisports,2,2,1
31,Martín Mantovani,El Barrio,13,2,4
31,Carlos Corvo,PIO FC,12,2,1
31,Augusto Fernández,Kunisports,8,2,1
31,Víctor Torres,PIO FC,12,2,0
31,Feliu Torrus,Ultimate Móstoles,12,2,2
31,Adri Gimeno,xBuyer Team,14,2,1
31,David Alba,Aniquiladores FC,12,2,1
31,Alexis García,xBuyer Team,7,2,0
31,Borja Fernández,1K FC,9,2,0
31,Emiliano Armenteros,Kunisports,1,2,0
31,Lulu Rodríguez,Saiyans FC,4,2,0
31,Agi Dambelley,Ultimate Móstoles,2,2,0
31,Jacobo Liencres,Porcinos FC,12,2,1
31,Cristian Ubón,Ultimate Móstoles,12,2,2
31,Pau 'ZZ' Ruiz,Aniquiladores FC,12,2,0
