Ranking,Name,Team,PM,Assist,KeyP
1,Pablo Beguer,El Barrio,13,6,1
1,Joan Verdú,Los Troncos FC,11,6,2
1,Iván López 'Cokita',PIO FC,10,6,1
1,Alberto Bueno,1K FC,10,6,4
1,Javi Espinosa,Porcinos FC,12,6,3
1,Hugo Fraile,Porcinos FC,10,6,1
7,Jacobo Liencres,El Barrio,13,5,0
7,Franky Purtí,Rayo de Barcelona,10,5,0
7,Àlex Gutiérrez,Ultimate Móstoles,10,5,1
7,Flavio Ruggeri,Kunisports,12,5,0
7,Ferran Corominas,Kunisports,12,5,2
7,Fran Hernández,Aniquiladores FC,13,5,1
13,Bernat Rovira,Aniquiladores FC,14,4,1
13,Gilles Vidal,Aniquiladores FC,14,4,0
13,Carles Planas,Los Troncos FC,10,4,1
13,Aleix Lage,Ultimate Móstoles,12,4,1
13,Ibai Gómez,Jijantes FC,6,4,0
18,Víctor Torres,Saiyans FC,13,3,3
18,Cristian Ubón,El Barrio,13,3,2
18,Noel López,Los Troncos FC,11,3,0
18,Carlos Val,PIO FC,10,3,0
18,Daniel Pérez,Rayo de Barcelona,10,3,0
18,Álvaro Arché,Ultimate Móstoles,12,3,0
18,Sergio García,Ultimate Móstoles,6,3,1
18,Nadir Louah,Aniquiladores FC,9,3,2
18,David López,Saiyans FC,3,3,0
18,Alberto Lopo,PIO FC,10,3,0
28,Raúl Lao,Porcinos FC,12,2,3
28,Gio Ferinu,Saiyans FC,11,2,1
28,Álex Campuzano,Saiyans FC,12,2,1
28,Feliu Torrus,Saiyans FC,13,2,1
28,Roger Carbó,Saiyans FC,13,2,0
28,Jordi Ros,El Barrio,13,2,1
28,Edgar Álvaro,Los Troncos FC,13,2,0
28,Xavi Molas,Los Troncos FC,13,2,2
28,Iván Nuevo,Los Troncos FC,9,2,1
28,Pau Fernández,PIO FC,10,2,0
28,Joan Poch,xBuyer Team,12,2,3
28,Benjamín Sierra,xBuyer Team,12,2,1
28,Carlos Torrentbó,Kunisports,12,2,1
28,Joan Inés,Kunisports,10,2,2
28,Marc Pluvins,1K FC,10,2,0
28,Ricardo López,1K FC,10,2,0
28,Martín Mantovani,El Barrio,7,2,0
28,Carlos Corvo,PIO FC,6,2,0
46,Gabriel Cichero,Porcinos FC,12,1,0
46,Toti Sàlvia,Porcinos FC,10,1,1
46,Kilian Honorato,Porcinos FC,12,1,1
46,David Alba,Saiyans FC,12,1,2
46,Marc Galvany,Aniquiladores FC,12,1,0
46,Pau Mañé,Aniquiladores FC,10,1,1
46,Xavi Garcia,Aniquiladores FC,13,1,0
46,Oriol Boada,El Barrio,11,1,0
46,Arnau Martínez,Jijantes FC,10,1,0
46,Joel Macarulla,Jijantes FC,11,1,0
46,Jonathan Soriano,Jijantes FC,7,1,1
46,David Soriano,Los Troncos FC,13,1,1
46,Sergio Sánchez,Los Troncos FC,4,1,1
46,Dorkis Pérez,Los Troncos FC,13,1,1
46,Aarón Ropero,PIO FC,10,1,0
46,Marc Pelaz,Rayo de Barcelona,10,1,0
46,Joan Canet,Rayo de Barcelona,10,1,0
46,Guillem 'ZZ' Ruiz,Rayo de Barcelona,10,1,1
46,Mario Reyes,Rayo de Barcelona,10,1,0
46,Steven Rodríguez,Ultimate Móstoles,5,1,0
46,Lucca Ribeiro,Ultimate Móstoles,8,1,0
46,Adrià 'Capi' Gutiérrez,xBuyer Team,12,1,0
46,Daniel Santiago,xBuyer Team,12,1,0
46,Marc Granero,xBuyer Team,12,1,1
46,Joel Bañuls,xBuyer Team,12,1,2
46,Victor Hidalgo,Kunisports,11,1,0
46,Miki Fernández,Kunisports,12,1,0
46,Román Alegre,1K FC,10,1,2
46,Mark Sorroche,1K FC,10,1,0
46,Raúl Ledo,1K FC,10,1,0
46,Lautaro Nicolas,1K FC,9,1,0
46,Ruben G. Tremiño,1K FC,10,1,0
46,Dídac Vilà,Rayo de Barcelona,8,1,0
46,Rubén de la Red,Ultimate Móstoles,3,1,1
46,Fuad El Amrani,xBuyer Team,7,1,0
46,Sergio 'Kun' Agüero,Kunisports,3,1,0
46,Pol Almellones,Saiyans FC,8,1,0
46,Uri Pons,Porcinos FC,8,1,0
46,Nico Pareja,El Barrio,5,1,1
46,Antonio Barragán,Jijantes FC,1,1,0
46,David García,PIO FC,4,1,0
46,Mandi Sosa,Rayo de Barcelona,1,1,0
46,Diego de la Mata,Ultimate Móstoles,2,1,0
46,Fernandão,Saiyans FC,3,1,0
46,Adrià de Mesa,Ultimate Móstoles,2,1,0
