Ranking,Name,Team,PM,TG,Gx2,Pen,%Pen,PSO,%PSO,OW
1,Cristian Ubón,El Barrio,13,16,0,1,50,0,0,0
2,Edgar Álvaro,Los Troncos FC,13,15,0,0,0,0,50,0
3,Roger Carbó,Saiyans FC,13,13,0,1,100,1,100,0
4,Alberto Bueno,1K FC,10,12,0,0,0,0,100,0
5,Juanma González,Ultimate Móstoles,12,11,0,0,0,1,100,0
7,Joan Poch,xBuyer Team,12,10,1,0,0,1,100,0
8,Marc Pelaz,Rayo de Barcelona,10,9,0,1,100,0,0,0
8,Álvaro Arché,Ultimate Móstoles,12,9,0,0,0,0,0,0
8,Ferran Corominas,Kunisports,12,9,0,0,0,0,33.33,0
11,Gabriel Cichero,Porcinos FC,12,8,0,0,0,0,25,1
11,Fran Hernández,Aniquiladores FC,13,8,0,0,0,0,75,0
11,Hugo Fraile,Porcinos FC,10,8,0,1,100,0,66.67,0
14,Pablo Beguer,El Barrio,13,7,0,0,0,0,0,0
14,Carlos Castro,xBuyer Team,12,7,0,2,100,0,100,0
14,Carlos Corvo,PIO FC,6,7,0,0,0,0,100,0
14,Alberto Lopo,PIO FC,10,7,0,2,100,0,0,0
18,Joselete Blanco,Porcinos FC,12,5,0,0,0,0,0,0
18,Gilles Vidal,Aniquiladores FC,14,5,0,1,100,0,100,0
18,Mario Reyes,Rayo de Barcelona,10,5,0,0,0,0,0,0
18,Javi Espinosa,Porcinos FC,12,5,0,0,0,1,40,0
18,Uri Pons,Porcinos FC,8,5,0,0,0,0,0,0
18,Iván Pérez,Jijantes FC,5,5,0,0,0,0,0,0
24,Jacobo Liencres,El Barrio,13,4,0,0,0,0,100,0
24,Jordi Ros,El Barrio,13,4,0,0,0,0,0,1
24,Jonathan Soriano,Jijantes FC,7,4,0,0,0,0,0,0
24,Sergio Sánchez,Los Troncos FC,4,4,0,0,0,0,0,0
24,Xavi Molas,Los Troncos FC,13,4,0,1,100,0,0,0
24,Carlos Val,PIO FC,10,4,0,0,0,0,0,0
24,Àlex Gutiérrez,Ultimate Móstoles,10,4,0,0,0,0,0,0
24,Aleix Lage,Ultimate Móstoles,12,4,0,0,0,0,0,0
24,Carlos Torrentbó,Kunisports,12,4,0,0,0,0,0,0
24,Marc Pluvins,1K FC,10,4,0,0,0,0,0,0
24,Ibai Gómez,Jijantes FC,6,4,0,0,0,0,0,0
24,Fuad El Amrani,xBuyer Team,7,4,0,0,0,0,0,0
24,Nadir Louah,Aniquiladores FC,9,4,0,0,0,0,100,0
37,Gio Ferinu,Saiyans FC,11,3,0,0,0,0,100,0
37,Feliu Torrus,Saiyans FC,13,3,0,0,0,0,66.67,0
37,Marc Galvany,Aniquiladores FC,12,3,0,0,0,0,0,0
37,Bernat Rovira,Aniquiladores FC,14,3,0,0,0,0,75,0
37,Roger Bonet,Aniquiladores FC,13,3,0,0,0,0,0,0
37,Pau Fernández,PIO FC,10,3,0,0,0,0,50,0
37,Adrián Biboum,Rayo de Barcelona,10,3,0,0,0,0,0,0
37,Joan Inés,Kunisports,10,3,0,0,0,0,100,0
37,Marino Gómez,1K FC,10,3,0,0,0,0,0,0
47,Kilian Honorato,Porcinos FC,12,2,0,0,0,0,0,0
47,Raúl Lao,Porcinos FC,12,2,0,0,0,0,100,0
47,Oriol Boada,El Barrio,11,2,0,0,0,0,0,0
47,Lluís Alsina,Jijantes FC,9,2,1,0,0,0,0,0
47,Pol Lechuga,Los Troncos FC,13,2,0,0,0,0,0,0
47,Dorkis Pérez,Los Troncos FC,13,2,0,0,0,0,100,0
47,Iván López 'Cokita',PIO FC,10,2,0,0,0,0,66.67,0
47,Guillem 'ZZ' Ruiz,Rayo de Barcelona,10,2,0,0,0,0,0,0
47,Iker López,Ultimate Móstoles,11,2,0,0,0,0,0,0
47,Iñaki Villalba,xBuyer Team,12,2,0,0,0,0,0,0
47,Marcos Guerrero,Kunisports,11,2,0,0,0,0,50,0
47,Flavio Ruggeri,Kunisports,12,2,0,0,0,0,0,0
47,Victor Hidalgo,Kunisports,11,2,0,0,0,0,50,0
47,Román Alegre,1K FC,10,2,0,0,0,0,0,1
47,Oscar Rivero,1K FC,10,2,0,0,0,0,100,0
47,Dídac Vilà,Rayo de Barcelona,8,2,0,0,0,0,0,0
47,Martín Mantovani,El Barrio,7,2,0,0,0,0,0,0
66,Toti Sàlvia,Porcinos FC,10,1,0,0,0,0,0,0
66,Raúl Tamudo,Porcinos FC,1,1,0,1,100,0,0,0
66,Álex Campuzano,Saiyans FC,12,1,0,1,100,0,33.33,0
66,Temo Korkotashvili,Saiyans FC,13,1,0,0,0,0,0,0
66,Cristian Valle,Saiyans FC,11,1,0,0,0,0,0,0
66,Joan Capdevila,Saiyans FC,7,1,0,0,0,0,100,0
66,Dani Pérez,Aniquiladores FC,14,1,0,0,0,0,0,0
66,Pau Mañé,Aniquiladores FC,10,1,0,0,0,0,0,0
66,Xavi Garcia,Aniquiladores FC,13,1,0,0,0,0,100,0
66,Pau 'ZZ' Ruiz,El Barrio,13,1,0,0,0,0,0,0
66,Joel Macarulla,Jijantes FC,11,1,0,0,0,0,0,1
66,Noel Bayarri,Jijantes FC,7,1,0,0,0,0,0,0
66,Raúl Dorado,Jijantes FC,11,1,0,0,0,0,0,0
66,David Soriano,Los Troncos FC,13,1,0,0,0,0,100,1
66,Noel López,Los Troncos FC,11,1,0,0,0,0,0,0
66,Raúl Martínez,Los Troncos FC,10,1,0,0,0,0,0,0
66,Iván Nuevo,Los Troncos FC,9,1,0,0,0,0,0,0
66,Jorge Ibáñez,PIO FC,9,1,0,0,0,0,0,0
66,Adrià de Castro,PIO FC,3,1,0,0,0,0,0,0
66,Aarón Ropero,PIO FC,10,1,0,0,0,0,33.33,0
66,Franky Purtí,Rayo de Barcelona,10,1,0,0,0,0,0,0
66,Alex 'Race' Ramírez,Rayo de Barcelona,10,1,0,0,0,0,0,0
66,Joel Bañuls,xBuyer Team,12,1,0,0,0,0,0,0
66,Lluc Riera,Kunisports,9,1,0,0,0,0,0,0
66,Raúl Ledo,1K FC,10,1,0,0,0,0,0,0
66,Sergi Sauras,1K FC,9,1,0,0,0,0,0,0
66,Ruben G. Tremiño,1K FC,10,1,0,0,0,0,100,0
66,Javi Márquez,PIO FC,3,1,0,1,100,0,0,0
66,Rubén de la Red,Ultimate Móstoles,3,1,0,0,0,0,0,0
66,Cristian Saldaña,Saiyans FC,4,1,0,0,0,0,0,0
66,Francisco 'Goku' Martín,Aniquiladores FC,2,1,0,0,0,0,0,0
