Ranking,Name,Team,PM,TG,Gx2,Pen,%Pen,PSO,%PSO,OW
79,Gabriel Vidal,El Barrio,12,1,0,0,0,0,0,1
79,Manuel Martín,Los Troncos FC,5,1,0,0,0,0,0,0
79,Eloy Pizarro,Ultimate Móstoles,7,1,0,0,0,0,0,0
79,Gerard Vacas,El Barrio,12,1,0,0,0,0,0,0
79,Albert Ruiz,1K FC,10,1,0,0,0,0,0,0
79,Pablo Fernández,Saiyans FC,14,1,0,0,0,0,0,0
79,Adrián Espinar,Jijantes FC,13,1,0,0,0,0,100,0
79,Pol Román,Rayo de Barcelona,11,1,0,0,0,0,0,0
79,Sergi Cabré,Jijantes FC,13,1,0,0,0,0,0,0
79,Alberto García,Saiyans FC,2,1,0,0,0,0,0,0
79,Brian Quijada,Los Troncos FC,3,1,0,0,0,0,100,0
79,Adrià Parra,Kunisports,1,1,0,0,0,0,0,0
79,Fran Fuentes,El Barrio,4,1,1,0,0,0,0,0
79,Cristian Delgado,Rayo de Barcelona,2,1,0,0,0,0,0,0
79,Fran Rodríguez,1K FC,5,1,0,0,0,0,0,0
79,Joel Paredes,Rayo de Barcelona,2,1,0,0,0,0,0,0
