Ranking,Name,Team,PM,G
1,Pablo Hernández,POR,0,9
3,Roger Carbó,XBU,7,8
4,Marc Granero,1K FC,0,6
4,Fernando Velillas,XBU,7,6
6,Nil Ayats,JFC,0,4
6,Àlex Gutiérrez,POR,0,4
10,Joan Inés,KNS,7,3
10,Alberto Bueno,ULT,8,3
10,Javi Espinosa,ANI,0,3
10,Nadir Louah,POR,7,3
10,Feliu Torrus,ULT,8,3
10,Dani Liñares,SAI,0,3
10,Óscar Coll,POR,8,3
10,Jacobo Liencres,POR,8,3
