Ranking,Name,Team,PM,TG,Gx2,Pen,%Pen,PSO,%PSO,OW
1,Roger Carbó,xBuyer Team,13,20,3,2,66.67,3,57.14,0
2,Fran Hernández,Aniquiladores FC,10,19,1,5,83.33,2,75,0
3,Marc Granero,1K FC,13,18,0,3,75,2,83.33,0
4,Cristian Ubón,Ultimate Móstoles,12,14,2,2,100,0,33.33,0
4,Marc Pelaz,Los Troncos FC,11,14,0,1,50,0,100,1
4,Ferran Corominas,Kunisports,12,14,3,1,50,0,100,0
4,Hugo Fraile,Porcinos FC,12,14,0,0,0,0,0,0
8,Gilles Vidal,El Barrio,14,12,0,2,100,1,20,0
8,Alberto Bueno,Porcinos FC,12,12,0,2,100,0,0,0
8,Nadir Louah,Aniquiladores FC,13,12,2,1,100,1,66.67,0
8,David Barral,1K FC,11,12,1,3,75,0,33.33,0
12,Álvaro Arché,El Barrio,14,11,0,1,100,0,0,0
14,Javi Espinosa,Porcinos FC,12,10,1,0,0,0,0,0
15,Tom Diawara,Jijantes FC,9,9,0,0,0,0,0,0
15,Nando Quesada,Jijantes FC,11,9,0,0,0,0,0,0
16,David López,Jijantes FC,12,8,0,3,100,0,100,0
16,Jacobo Liencres,Porcinos FC,12,8,1,0,0,0,100,0
16,Pablo Beguer,xBuyer Team,14,8,0,0,0,0,50,0
16,Carlos Torrentbó,El Barrio,14,8,1,1,100,0,50,0
16,Alberto Lopo,PIO FC,11,8,1,5,83.33,0,0,0
21,Guillem 'ZZ' Ruiz,Aniquiladores FC,13,7,4,0,0,0,0,0
21,Joan Poch,Saiyans FC,12,7,0,2,50,0,0,0
21,Iñaki Villalba,Kunisports,12,7,2,0,0,0,50,0
24,Carlos Corvo,PIO FC,12,6,0,0,0,0,0,0
24,Gerard Verge,Ultimate Móstoles,9,6,0,0,0,2,100,0
24,Eric Jiménez,Rayo de Barcelona,11,6,0,0,0,0,0,0
24,Alexis García,xBuyer Team,7,6,3,0,0,0,0,0
25,Oriol Boada,Saiyans FC,13,6,1,0,0,1,100,0
28,Gio Ferinu,Ultimate Móstoles,12,5,1,0,0,0,100,0
28,Lluís Alsina,1K FC,13,5,1,0,0,0,66.67,0
28,Edgar Álvaro,Rayo de Barcelona,10,5,1,1,100,0,100,0
28,Dorkis Pérez,Porcinos FC,12,5,1,0,0,0,0,0
28,Oscar Rivero,PIO FC,12,5,0,0,0,0,0,0
28,Sergio 'Kun' Agüero,Kunisports,2,5,0,1,100,0,0,0
28,Fernando Velillas,xBuyer Team,14,5,1,0,0,0,66.67,0
30,Joselete Blanco,Rayo de Barcelona,7,5,0,0,0,0,0,0
36,Feliu Torrus,Ultimate Móstoles,12,4,1,0,0,1,66.67,0
36,Aleix Lage,Saiyans FC,13,4,3,0,0,0,0,0
36,Llur Genesca,Saiyans FC,10,4,1,0,0,0,0,0
36,Joan Inés,Kunisports,12,4,1,0,0,0,100,1
36,Mark Sorroche,Los Troncos FC,11,4,1,0,0,0,50,0
36,Uri Pons,Jijantes FC,13,4,0,0,0,0,0,0
36,Víctor Oribe,Saiyans FC,6,4,0,0,0,0,0,0
44,Juanma González,Ultimate Móstoles,9,3,0,2,100,0,100,0
44,Marcos Guerrero,1K FC,13,3,0,0,0,0,50,0
44,Marc Pluvins,PIO FC,12,3,1,0,0,0,0,0
44,Ibai Gómez,Jijantes FC,2,3,0,0,0,0,0,0
44,David López,Saiyans FC,13,3,1,0,0,0,0,0
44,Dani Liñares,Rayo de Barcelona,8,3,0,0,0,0,100,0
44,Borja Fernández,1K FC,9,3,0,0,0,0,0,0
44,Víctor Mongil,Rayo de Barcelona,11,3,1,0,0,0,0,0
45,Gerard Nolla,El Barrio,7,3,0,0,0,0,100,1
52,Dani Pérez,Saiyans FC,13,2,0,0,0,0,0,1
52,Joel Macarulla,Aniquiladores FC,13,2,0,0,0,0,0,0
52,Iván López 'Cokita',1K FC,13,2,1,0,0,0,66.67,0
52,Aarón Ropero,PIO FC,12,2,0,0,0,0,0,0
52,Alejo García,PIO FC,9,2,0,0,0,0,0,0
52,Victor Hidalgo,xBuyer Team,14,2,0,0,0,0,50,0
52,Raúl Ledo,1K FC,13,2,0,0,0,0,0,0
52,Nico Pareja,El Barrio,12,2,0,0,0,0,33.33,0
52,Martín Mantovani,El Barrio,13,2,1,0,0,0,100,0
52,Iván Pérez,Jijantes FC,10,2,0,0,0,0,50,0
52,Mauricio del Castillo,Kunisports,7,2,0,0,0,0,0,0
52,Adri Gimeno,xBuyer Team,14,2,1,0,0,0,0,0
52,Roger García,Saiyans FC,6,2,0,0,0,0,0,0
52,Gerard 'Hulk' Artigas,PIO FC,6,2,0,0,0,0,0,0
52,Jorge Alba,Saiyans FC,4,2,0,0,0,0,0,0
52,Raúl Morillo,Los Troncos FC,6,2,1,0,0,0,0,0
52,Pablo Hernández,Rayo de Barcelona,5,2,0,1,100,0,0,0
55,Temo Korkotashvili,Porcinos FC,9,2,0,0,0,0,0,0
55,Mario Reyes,Aniquiladores FC,13,2,1,0,0,0,0,0
55,Nacho Berché,Rayo de Barcelona,11,2,0,1,50,0,0,0
72,Gabriel Cichero,Ultimate Móstoles,3,1,0,0,0,0,0,0
72,Raúl Lao,Los Troncos FC,10,1,0,0,0,0,0,0
72,Marc Briones,Porcinos FC,11,1,0,0,0,0,0,0
72,David Alba,Aniquiladores FC,12,1,0,0,0,0,0,0
72,Marc Galvany,Saiyans FC,13,1,0,0,0,0,0,0
72,Bernat Rovira,Aniquiladores FC,13,1,0,0,0,0,50,0
72,Pau Mañé,Aniquiladores FC,13,1,1,0,0,0,0,0
72,Aleix Massegú,Ultimate Móstoles,7,1,0,0,0,0,0,0
72,Jordi Ros,Jijantes FC,13,1,0,0,0,0,0,0
72,Pau 'ZZ' Ruiz,Aniquiladores FC,12,1,0,0,0,0,0,0
72,Xavi Olaechea,PIO FC,12,1,1,0,0,0,0,0
72,David Soriano,Porcinos FC,12,1,1,0,0,0,0,0
72,Xavi Molas,1K FC,13,1,0,0,0,0,0,1
72,Carlos Val,Kunisports,12,1,1,0,0,0,0,0
72,Pau Fernández,El Barrio,14,1,0,0,0,0,50,0
72,Bernat Juárez,El Barrio,13,1,0,0,0,0,0,0
72,Adrián Biboum,Los Troncos FC,9,1,1,0,0,0,0,0
72,Alex 'Race' Ramírez,PIO FC,3,1,0,0,0,0,0,0
72,Steven Rodríguez,Rayo de Barcelona,10,1,0,0,0,0,0,0
72,Joel Bañuls,Ultimate Móstoles,12,1,1,0,0,0,0,0
72,Franc Cortés,Jijantes FC,8,1,0,0,0,0,0,0
72,Josep Corderas,Los Troncos FC,9,1,0,0,0,0,0,0
72,Román Alegre,Saiyans FC,8,1,0,0,0,0,0,0
72,Ruben G. Tremiño,Los Troncos FC,6,1,0,0,0,0,0,1
72,David Acedo,Aniquiladores FC,3,1,0,0,0,0,0,0
72,Ismael Cabello,PIO FC,11,1,0,0,0,0,0,0
72,Carlitos González,Porcinos FC,7,1,0,0,0,0,0,0
72,Román Golobart,Jijantes FC,12,1,0,0,0,0,0,0
72,Marc Torrejón,1K FC,10,1,0,0,0,0,0,0
72,Adnane Ghailan,Los Troncos FC,2,1,0,0,0,0,100,0
72,Cebri Queralt,1K FC,3,1,0,0,0,0,0,0
72,Christian Alfonso,PIO FC,3,1,0,0,0,0,0,0
72,Mauro Alguacil,El Barrio,3,1,1,0,0,0,0,0
72,Antoni Hernández,xBuyer Team,6,1,0,0,0,0,0,0
79,Emiliano Armenteros,Kunisports,1,1,0,0,0,0,0,0
