Ranking,Name,Team,PM,Assist,KeyP
1,Diego de la Mata,Ultimate Móstoles,14,12,3
2,Víctor Vidal,Jijantes FC,12,11,7
3,Javi Espinosa,Aniquiladores FC,13,10,14
3,Víctor Oribe,xBuyer Team,12,10,1
3,Juan Antonio Gallego,Saiyans FC,12,10,3
6,Pol Ortega,Jijantes FC,12,9,3
7,Pablo Beguer,xBuyer Team,12,8,6
7,Nico Santos,1K FC,11,8,8
9,Cristian Ubón,El Barrio,12,7,3
9,Carles Planas,Los Troncos FC,11,7,0
9,Álvaro Arché,Kunisports,12,7,1
9,Fuad El Amrani,xBuyer Team,12,7,8
9,Aitor Vives,Saiyans FC,11,7,6
9,Luis García,PIO FC,10,7,4
9,Mohamed Boullouh,Rayo de Barcelona,10,7,2
16,Hugo Fraile,Aniquiladores FC,13,6,6
16,Nadir Louah,Porcinos FC,12,6,2
16,Dani Liñares,Ultimate Móstoles,14,6,4
16,Gerard Nolla,Porcinos FC,11,6,3
20,Edgar Álvaro,Aniquiladores FC,13,5,1
20,Marc Granero,Ultimate Móstoles,14,5,2
20,Gerard Verge,1K FC,4,5,1
20,Fernando Velillas,PIO FC,6,5,0
20,Aleix Martí,Rayo de Barcelona,10,5,1
20,Jero Martín,Saiyans FC,12,5,0
20,Nil Ayats,Jijantes FC,9,5,6
20,Dani Parra,PIO FC,7,5,2
28,Daniel Pérez,Rayo de Barcelona,11,4,0
28,Nico Pareja,Jijantes FC,7,4,3
28,Eloy Amoedo,Los Troncos FC,11,4,3
28,Diego Jiménez,Los Troncos FC,11,4,0
28,Robert Vallribera,El Barrio,12,4,0
28,Franco Romero,Kunisports,12,4,1
34,Feliu Torrus,1K FC,12,3,3
34,Gilles Vidal,Porcinos FC,6,3,1
34,Jorge Ibáñez,Kunisports,12,3,1
34,Marc Pelaz,Porcinos FC,12,3,1
34,Guillem 'ZZ' Ruiz,Kunisports,11,3,1
34,Óscar Coll,Porcinos FC,12,3,2
34,Isaac Maldonado,Saiyans FC,10,3,0
34,Alberto de la Bella,Ultimate Móstoles,14,3,3
34,Aleix Hernando,Ultimate Móstoles,14,3,2
43,Gabriel Cichero,Kunisports,12,2,3
43,Marc Briones,Saiyans FC,12,2,4
43,Joan Verdú,Los Troncos FC,11,2,6
43,Carlos Val,Aniquiladores FC,13,2,0
43,Pau Fernández,Jijantes FC,11,2,2
43,Adrià 'Capi' Gutiérrez,Porcinos FC,6,2,1
43,Iñaki Villalba,El Barrio,6,2,0
43,Josep Corderas,Rayo de Barcelona,5,2,0
43,Román Alegre,El Barrio,10,2,2
43,Antoni Hernández,El Barrio,10,2,0
43,Pablo Fernández,PIO FC,11,2,0
43,Adrián Espinar,Saiyans FC,12,2,0
43,Adrià Escribano,Kunisports,12,2,0
43,Alberto Arnalot,Rayo de Barcelona,10,2,0
43,Marc Valiente,El Barrio,8,2,0
43,Jordi Gómez,Los Troncos FC,9,2,1
43,Álex 'Capi' Domingo,Jijantes FC,12,2,6
43,David Pérez Picón,xBuyer Team,12,2,0
43,Izan Espinosa,1K FC,12,2,0
43,Xavi Pluvins,El Barrio,9,2,4
43,Carlos Martínez,Jijantes FC,9,2,1
64,José Segovia,Ultimate Móstoles,13,1,0
64,Sergi Aguilar,xBuyer Team,8,1,1
64,Álex Campuzano,PIO FC,10,1,0
64,Víctor Torres,Los Troncos FC,5,1,0
64,Dani Pérez,PIO FC,4,1,0
64,Jacobo Liencres,xBuyer Team,12,1,3
64,Oriol Boada,Los Troncos FC,9,1,2
64,Pol Zapata,Kunisports,8,1,0
64,Pol Lechuga,1K FC,12,1,2
64,Aarón Ropero,1K FC,12,1,1
64,Franky Purtí,1K FC,11,1,0
64,Àlex Gutiérrez,Los Troncos FC,7,1,1
64,Juanma González,xBuyer Team,10,1,2
64,Daniel Santiago,xBuyer Team,11,1,0
64,Carlos Torrentbó,Porcinos FC,9,1,1
64,Marcos Guerrero,Rayo de Barcelona,2,1,0
64,Ferran Corominas,Ultimate Móstoles,9,1,2
64,Raúl Ledo,1K FC,11,1,1
64,Martín Mantovani,Aniquiladores FC,13,1,0
64,Carlos Corvo,1K FC,5,1,0
64,Carlos Omabegho,Kunisports,11,1,0
64,Adri Gimeno,xBuyer Team,11,1,1
64,Víctor Mongil,1K FC,12,1,0
64,Xavi Liébanas,Aniquiladores FC,13,1,0
64,Manuel Martín,xBuyer Team,10,1,1
64,Eloy Pizarro,Aniquiladores FC,12,1,2
64,Álex Cubedo,Los Troncos FC,8,1,0
64,Sergi Gestí,Ultimate Móstoles,14,1,1
64,Iker González,PIO FC,9,1,1
64,Carlos Contreras,Saiyans FC,8,1,0
64,Carlos Ferres,Los Troncos FC,11,1,1
64,Hichem Boumedol,Aniquiladores FC,12,1,1
64,Cristian Faura,Kunisports,12,1,0
64,Hugo Eyre,El Barrio,12,1,1
64,Miraash Imthiyaz,Aniquiladores FC,13,1,1
64,Eric Lobato,PIO FC,11,1,4
64,Nauzet Hernández,Rayo de Barcelona,8,1,0
64,Mikel Rico,Porcinos FC,3,1,1
64,Facu Romero,Kunisports,10,1,3
64,Mohsine El Haji,1K FC,8,1,0
64,Oscar Gironés,Saiyans FC,7,1,1
