Ranking,Name,Team,PM,Assist,KeyP
1,Nico Santos,Porcinos FC,11,16,13
2,Gilles Vidal,El Barrio,12,8,3
2,Álvaro Arché,El Barrio,12,8,5
2,Aitor Vives,Los Troncos FC,12,8,4
5,José Segovia,Jijantes FC,14,7,5
5,Pablo Beguer,Jijantes FC,13,7,4
5,Nadir Louah,Porcinos FC,10,7,4
5,Fernando Velillas,Jijantes FC,14,7,13
5,Jero Martín,PIO FC,11,7,0
10,Cristian Ubón,Ultimate Móstoles,12,6,8
10,Dani Liñares,Saiyans FC,11,6,2
12,Carles Planas,Los Troncos FC,10,5,6
12,Joan Verdú,Los Troncos FC,12,5,14
12,Marc Pelaz,Jijantes FC,14,5,8
12,Javi Espinosa,Aniquiladores FC,13,5,7
12,Diego de la Mata,Ultimate Móstoles,12,5,8
12,Roger Serrano,El Barrio,12,5,5
12,Aridai Cabrera,PIO FC,9,5,2
19,Àlex Gutiérrez,Porcinos FC,12,4,7
19,Juanma González,xBuyer Team,14,4,2
19,Ferran Corominas,Ultimate Móstoles,11,4,3
19,Fuad El Amrani,xBuyer Team,14,4,4
23,Marc Briones,PIO FC,11,3,1
23,David Soriano,Porcinos FC,12,3,2
23,Guillem 'ZZ' Ruiz,Aniquiladores FC,13,3,0
23,Joel Bañuls,Ultimate Móstoles,12,3,1
23,Hugo Fraile,Aniquiladores FC,13,3,4
23,Aleix Martí,Ultimate Móstoles,11,3,0
23,Sergio Juste,Jijantes FC,9,3,2
23,Luis García,Jijantes FC,10,3,2
23,Sergio 'Chechi' Costa,xBuyer Team,7,3,1
32,Feliu Torrus,Jijantes FC,13,2,5
32,David Alba,Aniquiladores FC,13,2,4
32,Dani Pérez,Saiyans FC,10,2,1
32,Oriol Boada,El Barrio,12,2,2
32,Edgar Álvaro,Los Troncos FC,11,2,1
32,Noel López,Kunisports,10,2,0
32,Jorge Ibáñez,Porcinos FC,7,2,1
32,Pau Fernández,El Barrio,12,2,2
32,Mario Reyes,Aniquiladores FC,12,2,0
32,Franky Purtí,Rayo de Barcelona,11,2,4
32,Daniel Santiago,Rayo de Barcelona,10,2,0
32,Marc Granero,1K FC,11,2,1
32,Iván Pérez,Kunisports,11,2,1
32,Marc Torrejón,1K FC,11,2,1
32,Víctor Oribe,xBuyer Team,10,2,4
32,Nil Ayats,Jijantes FC,14,2,3
32,Albert Dalmau,1K FC,11,2,1
32,Adrián Espinar,Jijantes FC,14,2,2
32,Carlos Contreras,xBuyer Team,14,2,0
32,Víctor Vidal,Ultimate Móstoles,12,2,2
32,Iker Alcarazo,xBuyer Team,14,2,3
32,Alberto de la Bella,Ultimate Móstoles,10,2,1
32,Izan Espinosa,Los Troncos FC,9,2,1
32,Marc Pilar,Jijantes FC,14,2,0
32,Robert Vallribera,Kunisports,8,2,0
32,Mikel Rico,Porcinos FC,12,2,4
58,Kilian Honorato,Ultimate Móstoles,11,1,0
58,Gio Ferinu,Saiyans FC,11,1,0
58,Jacobo Liencres,PIO FC,8,1,0
58,Sergio Sánchez,Los Troncos FC,11,1,0
58,Carlos Val,Kunisports,11,1,0
58,Iván López 'Cokita',PIO FC,11,1,1
58,Aleix Lage,Ultimate Móstoles,12,1,0
58,Marc Pluvins,1K FC,8,1,0
58,Fran Hernández,Aniquiladores FC,13,1,3
58,Nico Pareja,Rayo de Barcelona,6,1,1
58,Martín Mantovani,Saiyans FC,10,1,1
58,Augusto Fernández,Saiyans FC,9,1,1
58,Gerard Nolla,Porcinos FC,10,1,1
58,Manuel Martín,Los Troncos FC,12,1,0
58,Alfons Serra,Saiyans FC,11,1,0
58,Eloy Amoedo,Aniquiladores FC,9,1,2
58,Gerard Vacas,El Barrio,12,1,0
58,Álex Romero,xBuyer Team,7,1,0
58,Sergi Gestí,Saiyans FC,5,1,0
58,Pablo Fernández,Saiyans FC,11,1,1
58,Adrià Escribano,Porcinos FC,10,1,1
58,Pablo Hernández,Ultimate Móstoles,2,1,0
58,Pablo Gómez,PIO FC,6,1,1
58,Jordi Gómez,Kunisports,10,1,3
58,Ao Kishimoto,Rayo de Barcelona,10,1,0
58,Adrián Frutos,Jijantes FC,13,1,4
58,Andreas Vaz,Porcinos FC,2,1,0
58,Kelvin Oliveira,Porcinos FC,2,1,2
58,Aleix Hernando,Porcinos FC,12,1,5
58,Juan Pedro Nzo,Rayo de Barcelona,8,1,1
58,Rafa Leva,Rayo de Barcelona,11,1,0
58,Xabier Apalategi,Aniquiladores FC,7,1,1
58,Xavi Pluvins,El Barrio,9,1,2
58,Pablo López,Jijantes FC,7,1,0
58,Pol Ortega,Saiyans FC,6,1,1
58,Guillem Jaime,Rayo de Barcelona,3,1,1
