Ranking,Name,Team,PM,Y.C.,R.C.
1,Carles Planas,Los Troncos FC,10,4,1
2,Nico Pareja,Rayo de Barcelona,6,3,0
2,Pol Román,Rayo de Barcelona,11,3,0
4,Gilles Vidal,El Barrio,12,2,0
4,David Soriano,Porcinos FC,12,2,0
4,Marc Granero,1K FC,11,2,0
4,Fernando Velillas,Jijantes FC,14,2,0
4,Dani Liñares,Saiyans FC,11,2,0
4,Víctor Mongil,PIO FC,11,2,0
4,Gerard Nolla,Porcinos FC,10,2,0
4,Aleix Martí,Ultimate Móstoles,11,2,0
4,Jero Martín,PIO FC,11,2,0
4,Eloy Pizarro,Ultimate Móstoles,11,2,1
4,Alberto de la Bella,Ultimate Móstoles,10,2,0
4,Yuri de Souza,Rayo de Barcelona,11,2,0
16,Marc Briones,PIO FC,11,1,0
16,Gio Ferinu,Saiyans FC,11,1,0
16,David Alba,Aniquiladores FC,13,1,0
16,Pablo Beguer,Jijantes FC,13,1,0
16,Pau 'ZZ' Ruiz,El Barrio,9,1,0
16,Roger de la Villa,Rayo de Barcelona,5,1,0
16,Sergio Sánchez,Los Troncos FC,11,1,0
16,Noel López,Kunisports,10,1,0
16,Joan Verdú,Los Troncos FC,12,1,0
16,Aarón Ropero,PIO FC,11,1,0
16,Marc Pelaz,Jijantes FC,14,1,0
16,Daniel Pérez,xBuyer Team,14,1,0
16,Álvaro Arché,El Barrio,12,1,0
16,Àlex Gutiérrez,Porcinos FC,12,1,0
16,Ian González,Los Troncos FC,12,1,0
16,Daniel Santiago,Rayo de Barcelona,10,1,0
16,Víctor Cócera,Kunisports,10,1,0
16,Raúl Ledo,1K FC,9,1,0
16,Marc Pluvins,1K FC,8,1,1
16,Fran Hernández,Aniquiladores FC,13,1,0
16,Fuad El Amrani,xBuyer Team,14,1,0
16,Augusto Fernández,Saiyans FC,9,1,0
16,David López,PIO FC,10,1,0
16,Aitor Vives,Los Troncos FC,12,1,0
16,Gabriel Vidal,Aniquiladores FC,8,1,0
16,Manuel Martín,Los Troncos FC,12,1,0
16,Albert Dalmau,1K FC,11,1,0
16,Eloy Amoedo,Aniquiladores FC,9,1,0
16,Nico Santos,Porcinos FC,11,1,0
16,Carlos Contreras,xBuyer Team,14,1,0
16,Sergio Juste,Jijantes FC,9,1,0
16,Marc Valiente,El Barrio,9,1,0
16,Carlos Ferres,Los Troncos FC,12,1,0
16,Iker Alcarazo,xBuyer Team,14,1,0
16,Ao Kishimoto,Rayo de Barcelona,10,1,0
16,Pere Martínez,xBuyer Team,4,1,0
16,Cristian Faura,PIO FC,10,1,0
16,Daniel Plaza,Saiyans FC,8,1,0
16,Stelios Orgianos,Kunisports,11,1,0
16,Diego Jiménez,Porcinos FC,12,1,0
16,David de la Víbora,1K FC,11,1,0
16,Aridai Cabrera,PIO FC,9,1,0
16,Pol Ortega,Saiyans FC,6,1,0
16,Guillem Jaime,Rayo de Barcelona,3,1,0
