Ranking,Name,Team,PM,F.Com
1,Jordi Gómez,Kunisports,12,19
2,Lluís Alsina,1K FC,10,17
3,Gerard 'Hulk' Artigas,Porcinos FC,7,16
4,Martín Mantovani,Saiyans FC,14,14
5,Sergio Juste,Jijantes FC,13,13
6,Pau 'ZZ' Ruiz,El Barrio,11,12
6,Juanma González,xBuyer Team,11,12
6,Dani Liñares,Saiyans FC,14,12
6,Dani 'Mini Bartu' Ruiz,PIO FC,11,12
6,Gabriel Vidal,El Barrio,12,12
6,José 'Casi' Ruiz,Aniquiladores FC,12,12
6,Carlos Contreras,Jijantes FC,12,12
13,Edgar Álvaro,Los Troncos FC,13,11
13,Aitor Vives,Los Troncos FC,13,11
13,Antoni Hernández,xBuyer Team,6,11
16,Feliu Torrus,Ultimate Móstoles,14,10
16,Mario Reyes,Aniquiladores FC,12,10
16,Álvaro Arché,El Barrio,12,10
16,Ian González,Los Troncos FC,12,10
16,John de la Cruz,1K FC,11,10
16,Nico Santos,Porcinos FC,13,10
16,Iker Alcarazo,xBuyer Team,13,10
23,Carlos Val,Kunisports,12,9
23,Carlos Torrentbó,Kunisports,6,9
23,Iván Pérez,Kunisports,12,9
23,Fernando Velillas,xBuyer Team,13,9
23,Albert Ruiz,1K FC,10,9
28,Gio Ferinu,Saiyans FC,14,8
28,Sergio Sánchez,Los Troncos FC,13,8
28,Daniel Pérez,xBuyer Team,13,8
28,Flavio Ruggeri,PIO FC,11,8
28,Ferran Corominas,Ultimate Móstoles,14,8
28,Nadir Louah,Porcinos FC,13,8
28,Víctor Mongil,Aniquiladores FC,11,8
28,Sergi Gestí,Saiyans FC,14,8
36,Gilles Vidal,El Barrio,12,7
36,Pablo Beguer,xBuyer Team,12,7
36,Cristian Ubón,Ultimate Móstoles,14,7
36,Carles Planas,Los Troncos FC,13,7
36,Daniel Santiago,Rayo de Barcelona,11,7
36,Joel Bañuls,Ultimate Móstoles,14,7
36,Román Alegre,Rayo de Barcelona,10,7
36,Alberto Lopo,PIO FC,9,7
36,Nando Quesada,Jijantes FC,13,7
36,Dani Martí,Ultimate Móstoles,14,7
36,Abraham González,1K FC,12,7
36,Jero Martín,Saiyans FC,11,7
36,Alejandro Ortega,Aniquiladores FC,9,7
36,Carlos Ferres,Los Troncos FC,13,7
36,Adrián Frutos,Jijantes FC,13,7
51,Franky Purtí,Rayo de Barcelona,11,6
51,Àlex Gutiérrez,Porcinos FC,10,6
51,Aleix Lage,Ultimate Móstoles,14,6
51,Joan Poch,Rayo de Barcelona,9,6
51,Marc Granero,1K FC,12,6
51,Mark Sorroche,Los Troncos FC,13,6
51,Hugo Fraile,Rayo de Barcelona,11,6
51,Nico Pareja,Kunisports,8,6
51,Augusto Fernández,Saiyans FC,13,6
51,Carlos Omabegho,PIO FC,11,6
51,Pol Román,Rayo de Barcelona,11,6
62,David Soriano,Porcinos FC,13,5
62,Joan Verdú,Los Troncos FC,12,5
62,Iván López 'Cokita',PIO FC,11,5
62,Guillem 'ZZ' Ruiz,Aniquiladores FC,12,5
62,Iñaki Villalba,Kunisports,12,5
62,Marc Pluvins,1K FC,12,5
62,Aleix Martí,Ultimate Móstoles,14,5
62,David Cárdenas,Porcinos FC,13,5
62,Adrià Escribano,Kunisports,12,5
62,Óscar Contreras,Rayo de Barcelona,11,5
62,Alberto de la Bella,Ultimate Móstoles,13,5
62,Fernando Llorente,Ultimate Móstoles,3,5
74,Kilian Honorato,Ultimate Móstoles,13,4
74,David Alba,Aniquiladores FC,12,4
74,Roger Carbó,xBuyer Team,8,4
74,Oriol Boada,El Barrio,7,4
74,Aarón Ropero,PIO FC,11,4
74,Marcos Guerrero,1K FC,6,4
74,Joan Inés,Kunisports,9,4
74,Jordi Martínez,Kunisports,9,4
74,Alfons Serra,Saiyans FC,14,4
74,Albert Dalmau,1K FC,12,4
74,Óscar Coll,Porcinos FC,13,4
74,Pablo Fernández,Saiyans FC,14,4
74,Godbless Eribo,Porcinos FC,10,4
74,Marc Valiente,El Barrio,12,4
74,Albert Dorca,xBuyer Team,3,4
89,Marc Galvany,Saiyans FC,11,3
89,Jacobo Liencres,Porcinos FC,13,3
89,Roger de la Villa,xBuyer Team,5,3
89,Pau Fernández,El Barrio,12,3
89,Marc Pelaz,Jijantes FC,13,3
89,Javi Espinosa,Aniquiladores FC,12,3
89,Fuad El Amrani,xBuyer Team,5,3
89,Diego de la Mata,Ultimate Móstoles,2,3
89,David Barral,Saiyans FC,2,3
89,Gerard Nolla,El Barrio,10,3
89,Emiliano Armenteros,Kunisports,2,3
89,Jandro Megía,PIO FC,9,3
89,Álex Cubedo,Los Troncos FC,8,3
89,Nil Ayats,Jijantes FC,10,3
89,David Sánchez,Jijantes FC,9,3
89,Iker González,El Barrio,12,3
89,Adrián Espinar,Jijantes FC,13,3
89,Jordi Abelló,Kunisports,4,3
89,Pablo Hernández,Porcinos FC,11,3
89,Alberto García,Saiyans FC,2,3
89,Hichem Boumedol,Aniquiladores FC,7,3
110,Bernat Rovira,Aniquiladores FC,12,2
110,Jordi Ros,Aniquiladores FC,12,2
110,Joel Macarulla,Aniquiladores FC,12,2
110,Lucca Ribeiro,Saiyans FC,7,2
110,Josep Corderas,Los Troncos FC,10,2
110,Raúl Ledo,1K FC,12,2
110,Oscar Rivero,PIO FC,8,2
110,Uri Pons,Jijantes FC,8,2
