Ranking,Name,Team,PM,F.Com
110,Carlitos González,Porcinos FC,4,2
110,Marc Torrejón,PIO FC,11,2
110,Víctor Oribe,PIO FC,5,2
110,Lasha L. Macharashvili,PIO FC,7,2
110,Isaac Maldonado,Rayo de Barcelona,7,2
110,Xavi Boniquet,Porcinos FC,2,2
110,Mateo Musacchio,Kunisports,1,2
110,Pere Martínez,xBuyer Team,8,2
110,Issey Nakajima-Farran,Rayo de Barcelona,1,2
110,David Garcia,PIO FC,3,2
110,Iván Dionisio,xBuyer Team,4,2
110,Fran Rodríguez,1K FC,5,2
130,José Segovia,Jijantes FC,13,1
130,Sergi Aguilar,Kunisports,6,1
130,Víctor Torres,xBuyer Team,8,1
130,Pau Mañé,Kunisports,1,1
130,Pol Zapata,Aniquiladores FC,12,1
130,Pol Lechuga,Rayo de Barcelona,9,1
130,Dorkis Pérez,Porcinos FC,3,1
130,Jorge Ibáñez,PIO FC,11,1
130,Pablo Zabaleta,Kunisports,1,1
130,Vicenç Oromí,Los Troncos FC,12,1
130,Pau Llastarry,xBuyer Team,10,1
130,Eloy Pizarro,Ultimate Móstoles,7,1
130,Alberto Arnalot,1K FC,12,1
130,Víctor Vidal,Ultimate Móstoles,14,1
130,Sergi Cabré,Jijantes FC,13,1
130,Iván Mateo,1K FC,8,1
130,Diego Fernández,1K FC,3,1
130,Manuel Agudo 'Nolito',Kunisports,2,1
130,Brian Quijada,Los Troncos FC,3,1
130,Marc Jiménez,Aniquiladores FC,6,1
130,Cristian Delgado,Rayo de Barcelona,2,1
130,David López,Rayo de Barcelona,1,1
130,David Gallego,Saiyans FC,1,1
130,Joel Paredes,Rayo de Barcelona,2,1
130,José Manuel Fontcuberta,El Barrio,1,1
130,Martí Garriga,Ultimate Móstoles,1,1
