Ranking,Name,Team,PM,MVP
1,Tom Diawara,Jijantes FC,9,4
1,Cristian Ubón,Ultimate Móstoles,12,4
3,Marc Granero,1K FC,13,3
3,Fran Hernández,Aniquiladores FC,10,3
3,Nadir Louah,Aniquiladores FC,13,3
3,Roger Carbó,xBuyer Team,13,3
3,Dani Pérez,Saiyans FC,13,3
3,Pablo Beguer,xBuyer Team,14,3
3,Álvaro Arché,El Barrio,14,3
10,Sergi Aguilar,El Barrio,14,2
10,Ferran Corominas,Kunisports,12,2
10,Javi Espinosa,Porcinos FC,12,2
10,Sergio 'Kun' Agüero,Kunisports,2,2
10,Carlos Corvo,PIO FC,12,2
10,David Barral,1K FC,11,2
10,Gilles Vidal,El Barrio,14,2
10,Pol Zapata,Aniquiladores FC,12,2
10,Marc Pelaz,Los Troncos FC,11,2
19,Nacho Berché,Rayo de Barcelona,11,1
19,Joan Poch,Saiyans FC,12,1
19,Iñaki Villalba,Kunisports,12,1
19,Joan Inés,Kunisports,12,1
19,Mark Sorroche,Los Troncos FC,11,1
19,Marc Briones,Porcinos FC,11,1
19,Marc Pluvins,PIO FC,12,1
19,Oscar Rivero,PIO FC,12,1
19,Alberto Bueno,Porcinos FC,12,1
19,Hugo Fraile,Porcinos FC,12,1
19,Mauricio del Castillo,Kunisports,7,1
19,Feliu Torrus,Ultimate Móstoles,12,1
19,Fernando Velillas,xBuyer Team,14,1
19,Alberto Lopo,PIO FC,11,1
19,Dani Liñares,Rayo de Barcelona,8,1
19,Gabriel Cichero,Ultimate Móstoles,3,1
19,Jorge Alba,Saiyans FC,4,1
19,Víctor Oribe,Saiyans FC,6,1
19,David López,Jijantes FC,12,1
19,Pablo Hernández,Rayo de Barcelona,5,1
19,Jacobo Liencres,Porcinos FC,12,1
19,Noel Bayarri,Porcinos FC,4,1
19,Pol Lechuga,Ultimate Móstoles,12,1
19,Joan Verdú,Los Troncos FC,10,1
19,Joselete Blanco,Rayo de Barcelona,7,1
19,Guillem 'ZZ' Ruiz,Aniquiladores FC,13,1
19,Llur Genesca,Saiyans FC,10,1
