Ranking,Name,Team,PM,MVP
1,Alberto Arnalot,1K FC,12,5
2,José Segovia,Jijantes FC,13,4
2,Víctor Vidal,Ultimate Móstoles,14,4
4,Marc Pelaz,Jijantes FC,13,3
4,Dani Liñares,Saiyans FC,14,3
4,Jero Martín,Saiyans FC,11,3
4,Alejandro Ortega,Aniquiladores FC,9,3
8,Roger Carbó,xBuyer Team,8,2
8,Pablo Beguer,xBuyer Team,12,2
8,Edgar Álvaro,Los Troncos FC,13,2
8,Carles Planas,Los Troncos FC,13,2
8,Joan Verdú,Los Troncos FC,12,2
8,Pau Fernández,El Barrio,12,2
8,Franky Purtí,Rayo de Barcelona,11,2
8,Carlos Omabegho,PIO FC,11,2
8,Víctor Mongil,Aniquiladores FC,11,2
8,Dani 'Mini Bartu' Ruiz,PIO FC,11,2
8,Manuel Agudo 'Nolito',Kunisports,2,2
19,Marc Briones,Porcinos FC,9,1
19,Dani Pérez,Saiyans FC,14,1
19,Cristian Ubón,Ultimate Móstoles,14,1
19,Pol Zapata,Aniquiladores FC,12,1
19,Iván López 'Cokita',PIO FC,11,1
19,Álvaro Arché,El Barrio,12,1
19,Ian González,Los Troncos FC,12,1
19,Joan Poch,Rayo de Barcelona,9,1
19,Daniel Santiago,Rayo de Barcelona,11,1
19,Marc Granero,1K FC,12,1
19,Ferran Corominas,Ultimate Móstoles,14,1
19,Javi Espinosa,Aniquiladores FC,12,1
19,Hugo Fraile,Rayo de Barcelona,11,1
19,Fuad El Amrani,xBuyer Team,5,1
19,Nadir Louah,Porcinos FC,13,1
19,Martín Mantovani,Saiyans FC,14,1
19,Iván Pérez,Kunisports,12,1
19,Fernando Velillas,xBuyer Team,13,1
19,Marc Torrejón,PIO FC,11,1
19,Manuel Martín,Los Troncos FC,5,1
19,José 'Casi' Ruiz,Aniquiladores FC,12,1
19,John de la Cruz,1K FC,11,1
19,Óscar Coll,Porcinos FC,13,1
19,Nico Santos,Porcinos FC,13,1
19,Isaac Maldonado,Rayo de Barcelona,7,1
19,Jordi Gómez,Kunisports,12,1
19,Alberto de la Bella,Ultimate Móstoles,13,1
19,Marc Jiménez,Aniquiladores FC,6,1
