Ranking,Name,Team,PM,Drib
1,Gilles Vidal,El Barrio,12,67
2,Dani Liñares,Saiyans FC,14,60
3,Pablo Beguer,xBuyer Team,12,51
4,Joan Poch,Rayo de Barcelona,9,47
5,Marc Pelaz,Jijantes FC,13,43
6,Alejandro Ortega,Aniquiladores FC,9,41
7,Marc Granero,1K FC,12,39
8,Javi Espinosa,Aniquiladores FC,12,37
9,Pablo Hernández,Porcinos FC,11,35
10,Edgar Álvaro,Los Troncos FC,13,32
10,Gerard Nolla,El Barrio,10,32
12,Iván Pérez,Kunisports,12,31
12,Fernando Velillas,xBuyer Team,13,31
14,Feliu Torrus,Ultimate Móstoles,14,29
14,Álvaro Arché,El Barrio,12,29
16,Carlos Omabegho,PIO FC,11,28
16,Gabriel Vidal,El Barrio,12,28
18,Jero Martín,Saiyans FC,11,25
18,Sergi Gestí,Saiyans FC,14,25
18,Carlos Contreras,Jijantes FC,12,25
21,Cristian Ubón,Ultimate Móstoles,14,24
21,Hugo Fraile,Rayo de Barcelona,11,24
23,Guillem 'ZZ' Ruiz,Aniquiladores FC,12,23
24,Roger Carbó,xBuyer Team,8,22
24,Joan Verdú,Los Troncos FC,12,22
24,Augusto Fernández,Saiyans FC,13,22
27,Marc Pluvins,1K FC,12,21
27,Aleix Martí,Ultimate Móstoles,14,21
29,Jordi Gómez,Kunisports,12,20
30,Àlex Gutiérrez,Porcinos FC,10,19
30,Nadir Louah,Porcinos FC,13,19
30,Aitor Vives,Los Troncos FC,13,19
30,John de la Cruz,1K FC,11,19
30,Isaac Maldonado,Rayo de Barcelona,7,19
30,Pablo Fernández,Saiyans FC,14,19
36,Dani 'Mini Bartu' Ruiz,PIO FC,11,18
37,Sergio Sánchez,Los Troncos FC,13,17
37,Alberto de la Bella,Ultimate Móstoles,13,17
39,Joel Bañuls,Ultimate Móstoles,14,16
39,Jordi Martínez,Kunisports,9,16
39,Pol Román,Rayo de Barcelona,11,16
42,Ferran Corominas,Ultimate Móstoles,14,15
42,Román Alegre,Rayo de Barcelona,10,15
42,Mark Sorroche,Los Troncos FC,13,15
42,José 'Casi' Ruiz,Aniquiladores FC,12,15
46,Eric Jiménez,Rayo de Barcelona,6,13
46,Óscar Coll,Porcinos FC,13,13
48,Marc Jiménez,Aniquiladores FC,6,12
49,Oriol Boada,El Barrio,7,11
49,Mario Reyes,Aniquiladores FC,12,11
49,Franky Purtí,Rayo de Barcelona,11,11
49,Antoni Hernández,xBuyer Team,6,11
49,Jandro Megía,PIO FC,9,11
49,Carlos Ferres,Los Troncos FC,13,11
49,Adrián Frutos,Jijantes FC,13,11
56,David Alba,Aniquiladores FC,12,10
56,Carlos Torrentbó,Kunisports,6,10
58,Kilian Honorato,Ultimate Móstoles,13,9
58,Gio Ferinu,Saiyans FC,14,9
58,Carles Planas,Los Troncos FC,13,9
58,Godbless Eribo,Porcinos FC,10,9
62,Iván López 'Cokita',PIO FC,11,8
62,Juanma González,xBuyer Team,11,8
62,Fuad El Amrani,xBuyer Team,5,8
62,Nando Quesada,Jijantes FC,13,8
62,Nil Ayats,Jijantes FC,10,8
62,Nico Santos,Porcinos FC,13,8
62,Adrián Espinar,Jijantes FC,13,8
62,Sergi Cabré,Jijantes FC,13,8
62,Iker Alcarazo,xBuyer Team,13,8
62,Óscar Contreras,Rayo de Barcelona,11,8
72,Hichem Boumedol,Aniquiladores FC,7,7
72,Fran Rodríguez,1K FC,5,7
72,Fernando Llorente,Ultimate Móstoles,3,7
75,Pau 'ZZ' Ruiz,El Barrio,11,6
75,Carlos Val,Kunisports,12,6
75,Pau Fernández,El Barrio,12,6
75,Daniel Santiago,Rayo de Barcelona,11,6
75,Nico Pareja,Kunisports,8,6
75,Víctor Oribe,PIO FC,5,6
75,Alfons Serra,Saiyans FC,14,6
75,Adrià Escribano,Kunisports,12,6
75,David Gallego,Saiyans FC,1,6
84,Joselete Blanco,Rayo de Barcelona,5,5
84,Marc Galvany,Saiyans FC,11,5
84,Lluís Alsina,1K FC,10,5
84,Joel Macarulla,Aniquiladores FC,12,5
84,Ian González,Los Troncos FC,12,5
84,Oscar Rivero,PIO FC,8,5
84,David Barral,Saiyans FC,2,5
84,Marc Torrejón,PIO FC,11,5
84,Jan Coca,PIO FC,7,5
84,Lasha L. Macharashvili,PIO FC,7,5
84,Sergio Juste,Jijantes FC,13,5
84,Xavi Boniquet,Porcinos FC,2,5
84,Iván Mateo,1K FC,8,5
84,Manuel Agudo 'Nolito',Kunisports,2,5
98,Jacobo Liencres,Porcinos FC,13,4
98,David Soriano,Porcinos FC,13,4
98,Aarón Ropero,PIO FC,11,4
98,Daniel Pérez,xBuyer Team,13,4
98,Aleix Lage,Ultimate Móstoles,14,4
98,Marcos Guerrero,1K FC,6,4
98,Alberto Bueno,Ultimate Móstoles,2,4
98,Uri Pons,Jijantes FC,8,4
98,Diego de la Mata,Ultimate Móstoles,2,4
98,Alberto Lopo,PIO FC,9,4
98,Gerard 'Hulk' Artigas,Porcinos FC,7,4
98,Alberto García,Saiyans FC,2,4
110,Marc Briones,Porcinos FC,9,3
110,Bernat Rovira,Aniquiladores FC,12,3
110,Iñaki Villalba,Kunisports,12,3
110,Raúl Ledo,1K FC,12,3
110,Carlitos González,Porcinos FC,4,3
110,Martín Mantovani,Saiyans FC,14,3
110,Adri Gimeno,xBuyer Team,4,3
110,Abraham González,1K FC,12,3
110,Emiliano Armenteros,Kunisports,2,3
110,Albert Dalmau,1K FC,12,3
110,Iker González,El Barrio,12,3
110,Mateo Musacchio,Kunisports,1,3
110,Brian Quijada,Los Troncos FC,3,3
110,Pere Martínez,xBuyer Team,8,3
110,Iván Dionisio,xBuyer Team,4,3
110,David López,Rayo de Barcelona,1,3
126,Roger de la Villa,xBuyer Team,5,2
126,Víctor Mongil,Aniquiladores FC,11,2
126,Dani Martí,Ultimate Móstoles,14,2
126,Vicenç Oromí,Los Troncos FC,12,2
126,Víctor Vidal,Ultimate Móstoles,14,2
126,Diego Fernández,1K FC,3,2
