Ranking,Name,Team,PM,Drib
126,Nacho Palacios,Jijantes FC,1,2
133,José Segovia,Jijantes FC,13,1
133,Dani Pérez,Saiyans FC,14,1
133,Aleix Massegú,Ultimate Móstoles,5,1
133,Dorkis Pérez,Porcinos FC,3,1
133,Iker López,El Barrio,2,1
133,Nacho Berché,Rayo de Barcelona,4,1
133,Adrià 'Capi' Gutiérrez,xBuyer Team,7,1
133,Joan Inés,Kunisports,9,1
133,Flavio Ruggeri,PIO FC,11,1
133,Sergio García,Los Troncos FC,1,1
133,Pau Llastarry,xBuyer Team,10,1
133,Álex Cubedo,Los Troncos FC,8,1
133,David Cárdenas,Porcinos FC,13,1
133,Gerard Vacas,El Barrio,12,1
133,Albert Ruiz,1K FC,10,1
133,David Sánchez,Jijantes FC,9,1
133,Álex Romero,xBuyer Team,10,1
133,Adrià Parra,Kunisports,1,1
133,Eric Simó,Rayo de Barcelona,1,1
133,Imad El Kabbou,Jijantes FC,2,1
133,Issey Nakajima-Farran,Rayo de Barcelona,1,1
133,Fran Fuentes,El Barrio,4,1
133,Cristian Delgado,Rayo de Barcelona,2,1
133,Daniel Quesada,Rayo de Barcelona,1,1
133,Joel Paredes,Rayo de Barcelona,2,1
133,Nacho Catalán,Rayo de Barcelona,2,1
133,Martí Garriga,Ultimate Móstoles,1,1
