Ranking,Name,Team,PM,Drib
1,Pablo Beguer,xBuyer Team,14,59
2,Álvaro Arché,El Barrio,14,38
2,Nadir Louah,Aniquiladores FC,13,38
2,Carlos Corvo,PIO FC,12,38
5,Roger Carbó,xBuyer Team,13,37
5,Gilles Vidal,El Barrio,14,37
5,Fernando Velillas,xBuyer Team,14,37
8,Fran Hernández,Aniquiladores FC,10,36
9,Edgar Álvaro,Rayo de Barcelona,10,31
9,Alexis García,xBuyer Team,7,31
11,David Barral,1K FC,11,28
12,Joan Poch,Saiyans FC,12,27
12,Javi Espinosa,Porcinos FC,12,27
14,Marc Pelaz,Los Troncos FC,11,26
15,Alberto Bueno,Porcinos FC,12,25
16,Marc Granero,1K FC,13,24
17,Guillem 'ZZ' Ruiz,Aniquiladores FC,13,23
18,Juanma González,Ultimate Móstoles,9,22
18,Mark Sorroche,Los Troncos FC,11,22
20,Cristian Ubón,Ultimate Móstoles,12,21
20,Gerard Verge,Ultimate Móstoles,9,21
20,Eric Jiménez,Rayo de Barcelona,11,21
23,Carlos Torrentbó,El Barrio,14,20
23,Ferran Corominas,Kunisports,12,20
23,Marc Pluvins,PIO FC,12,20
23,Gerard Nolla,El Barrio,7,20
27,Marc Galvany,Saiyans FC,13,18
27,Lluís Alsina,1K FC,13,18
29,Iván López 'Cokita',1K FC,13,17
30,Mario Reyes,Aniquiladores FC,13,16
30,Uri Pons,Jijantes FC,13,16
32,Tom Diawara,Jijantes FC,9,15
33,Feliu Torrus,Ultimate Móstoles,12,14
33,Marcos Guerrero,1K FC,13,14
33,Edu Oriol,Los Troncos FC,2,14
33,Víctor Oribe,Saiyans FC,6,14
37,Joan Verdú,Los Troncos FC,10,13
37,Joel Bañuls,Ultimate Móstoles,12,13
37,Sergio 'Kun' Agüero,Kunisports,2,13
40,Oriol Boada,Saiyans FC,13,12
40,Xavi Molas,1K FC,13,12
40,Oscar Rivero,PIO FC,12,12
40,Hugo Fraile,Porcinos FC,12,12
40,Antoni Hernández,xBuyer Team,6,12
45,Carlos Val,Kunisports,12,11
45,Pau Fernández,El Barrio,14,11
45,Iván Pérez,Jijantes FC,10,11
45,Dani Liñares,Rayo de Barcelona,8,11
45,Nando Quesada,Jijantes FC,11,11
50,Pau 'ZZ' Ruiz,Aniquiladores FC,12,10
51,Nico Pareja,El Barrio,12,9
52,David López,Jijantes FC,12,8
52,Joel Macarulla,Aniquiladores FC,13,8
52,Sergio Sánchez,Ultimate Móstoles,9,8
52,Carlos García,Kunisports,8,8
52,Daniel Pérez,xBuyer Team,13,8
52,Román Golobart,Jijantes FC,12,8
52,Gerard 'Hulk' Artigas,PIO FC,6,8
59,Xavi Garcia,Aniquiladores FC,12,7
59,Jacobo Liencres,Porcinos FC,12,7
59,Dorkis Pérez,Porcinos FC,12,7
59,Benjamín Sierra,Kunisports,12,7
59,Raúl Ledo,1K FC,13,7
59,Martín Mantovani,El Barrio,13,7
59,Adri Gimeno,xBuyer Team,14,7
59,Jorge Alba,Saiyans FC,4,7
59,Christian Alfonso,PIO FC,3,7
59,Joaquín Amador,Aniquiladores FC,3,7
69,Kilian Honorato,El Barrio,9,6
69,David Alba,Aniquiladores FC,12,6
69,Bernat Rovira,Aniquiladores FC,13,6
69,Pau Mañé,Aniquiladores FC,13,6
69,David Soriano,Porcinos FC,12,6
69,Llur Genesca,Saiyans FC,10,6
69,Román Alegre,Saiyans FC,8,6
69,David López,Saiyans FC,13,6
77,Franky Purtí,Rayo de Barcelona,10,5
77,Aleix Lage,Saiyans FC,13,5
77,Augusto Fernández,Kunisports,8,5
77,Walter Montillo,Kunisports,1,5
77,Mauricio del Castillo,Kunisports,7,5
77,Marc Torrejón,1K FC,10,5
77,Adnane Ghailan,Los Troncos FC,2,5
84,Joan Inés,Kunisports,12,4
84,Marc Marruecos,Rayo de Barcelona,2,4
84,Agi Dambelley,Ultimate Móstoles,2,4
87,Joselete Blanco,Rayo de Barcelona,7,3
87,Victor Baranera,Kunisports,10,3
87,Bernat Juárez,El Barrio,13,3
87,Iker López,El Barrio,14,3
87,Ian González,Los Troncos FC,9,3
87,Lucca Ribeiro,Saiyans FC,10,3
87,Iñaki Villalba,Kunisports,12,3
87,Diego de la Mata,Ultimate Móstoles,4,3
87,Roger García,Saiyans FC,6,3
87,Gai Assulin,Jijantes FC,1,3
87,Borja Fernández,1K FC,9,3
87,Sergio Mulero,Aniquiladores FC,3,3
87,Lulu Rodríguez,Saiyans FC,4,3
100,Raúl Lao,Los Troncos FC,10,2
100,Gio Ferinu,Ultimate Móstoles,12,2
100,Temo Korkotashvili,Porcinos FC,9,2
100,Víctor Torres,PIO FC,12,2
100,Xavi Olaechea,PIO FC,12,2
100,Noel López,Kunisports,3,2
100,Raúl Martínez,Jijantes FC,10,2
100,Àlex Gutiérrez,Porcinos FC,5,2
100,Steven Rodríguez,Rayo de Barcelona,10,2
100,Víctor Molina,Jijantes FC,10,2
100,Víctor Mongil,Rayo de Barcelona,11,2
100,Victor Aliaga,xBuyer Team,1,2
100,Aitor Vives,Ultimate Móstoles,2,2
100,Cebri Queralt,1K FC,3,2
100,Pablo Zabaleta,Kunisports,4,2
100,Pablo Hernández,Rayo de Barcelona,5,2
116,José Segovia,Jijantes FC,12,1
116,Sergi Aguilar,El Barrio,14,1
116,Cristian Valle,Porcinos FC,7,1
116,Jordi Ros,Jijantes FC,13,1
116,Raúl Dorado,xBuyer Team,9,1
116,Iván Nuevo,xBuyer Team,3,1
116,Adrià de Castro,Rayo de Barcelona,5,1
116,Aarón Ropero,PIO FC,12,1
116,Joan Canet,1K FC,4,1
116,Alejo García,PIO FC,9,1
116,Adrián Biboum,Los Troncos FC,9,1
116,Jonathan A. Jiménez,Aniquiladores FC,4,1
116,Adrià 'Capi' Gutiérrez,xBuyer Team,13,1
116,Daniel Santiago,Rayo de Barcelona,11,1
116,Franc Cortés,Jijantes FC,8,1
116,Flavio Ruggeri,Porcinos FC,11,1
116,Lluc Riera,Rayo de Barcelona,11,1
116,Miki Fernández,xBuyer Team,14,1
116,Sergi Sauras,Jijantes FC,11,1
116,Ruben G. Tremiño,Los Troncos FC,6,1
116,David Acedo,Aniquiladores FC,3,1
116,Carlitos González,Porcinos FC,7,1
116,Alberto Lopo,PIO FC,11,1
116,Toni Paredes,Ultimate Móstoles,1,1
116,Djibril Cissé,Los Troncos FC,2,1
116,Gerardo Berodia,1K FC,1,1
116,Cristian Gómez,Ultimate Móstoles,2,1
116,Adrià Granell,Los Troncos FC,2,1
116,Dani Martí,Ultimate Móstoles,10,1
116,Andriy Shevchenko,Ultimate Móstoles,1,1
116,Dani 'Mini Bartu' Ruiz,Los Troncos FC,2,1
116,Antonio Pelegrín,Saiyans FC,1,1
116,Emiliano Armenteros,Kunisports,1,1
116,Martí Riverola,Los Troncos FC,1,1
116,Xavi Puerto,Rayo de Barcelona,1,1
116,Jan Coca,Los Troncos FC,1,1
116,Pablo Sánchez,PIO FC,1,1
116,Juan Fernández,Aniquiladores FC,1,1
