Ranking,Name,Team,PM,Drib
75,Xavi Molas,Los Troncos FC,13,7
75,David Acedo,Aniquiladores FC,3,7
75,Fabián Orellana,xBuyer Team,3,7
78,Cristian Valle,Saiyans FC,11,6
78,Víctor Torres,Saiyans FC,13,6
78,Aleix Lage,Ultimate Móstoles,12,6
78,Ian González,Ultimate Móstoles,12,6
78,Lucca Ribeiro,Ultimate Móstoles,8,6
78,Rubén de la Red,Ultimate Móstoles,3,6
78,Martín Mantovani,El Barrio,7,6
85,Jordi Ros,El Barrio,13,5
85,Jay Mengeli,Jijantes FC,7,5
85,Arnau Martínez,Jijantes FC,10,5
85,Roger de la Villa,Jijantes FC,5,5
85,Bernat Juárez,PIO FC,5,5
85,Iker López,Ultimate Móstoles,11,5
85,Steven Rodríguez,Ultimate Móstoles,5,5
85,Ruben G. Tremiño,1K FC,10,5
85,Iván Pérez,Jijantes FC,5,5
85,Nando Quesada,Jijantes FC,1,5
95,Jadir Cirera,Aniquiladores FC,6,4
95,Raúl Martínez,Los Troncos FC,10,4
95,Alex 'Race' Ramírez,Rayo de Barcelona,10,4
95,Llur Genesca,Ultimate Móstoles,10,4
95,Bruno Gumà,1K FC,10,4
95,Walter Erviti,Aniquiladores FC,3,4
101,Andrés Serrano,Aniquiladores FC,6,3
101,Aleix Massegú,El Barrio,8,3
101,Noel Bayarri,Jijantes FC,7,3
101,David Soriano,Los Troncos FC,13,3
101,Guillem 'ZZ' Ruiz,Rayo de Barcelona,10,3
101,Mario Reyes,Rayo de Barcelona,10,3
101,Franc Cortés,xBuyer Team,7,3
101,Benjamín Sierra,xBuyer Team,12,3
101,Joan Inés,Kunisports,10,3
101,Victor Hidalgo,Kunisports,11,3
101,Miki Fernández,Kunisports,12,3
101,Marino Gómez,1K FC,10,3
101,Lautaro Nicolas,1K FC,9,3
101,Fran Álvarez,Los Troncos FC,2,3
101,Uri Pons,Porcinos FC,8,3
101,Mauricio del Castillo,Kunisports,1,3
118,José Segovia,Porcinos FC,12,2
118,Aleix Ripol,Porcinos FC,4,2
118,Joan Capdevila,Saiyans FC,7,2
118,Xavi Morales,Aniquiladores FC,3,2
118,Victor Baranera,El Barrio,9,2
118,Jonathan Soriano,Jijantes FC,7,2
118,Carles Planas,Los Troncos FC,10,2
118,Andy Turner,PIO FC,2,2
118,Alejo García,Rayo de Barcelona,9,2
118,Adrián Biboum,Rayo de Barcelona,10,2
118,Daniel Santiago,xBuyer Team,12,2
118,Lluc Riera,Kunisports,9,2
118,Francisco 'Goku' Martín,Aniquiladores FC,2,2
118,David García,PIO FC,4,2
118,Carlitos González,Porcinos FC,4,2
118,Walter Montillo,Kunisports,1,2
118,Alberto Lopo,PIO FC,10,2
135,Álvaro Pons,Porcinos FC,2,1
135,Iván Fajardo,Saiyans FC,4,1
135,Javier Capilla,El Barrio,8,1
135,Jorge Gómez,El Barrio,2,1
135,Pol Marcó 'Poloteli',Rayo de Barcelona,7,1
135,Víctor Cócera,Kunisports,11,1
135,Nacho Jordà,Kunisports,6,1
135,Sergi Sauras,1K FC,9,1
135,Javi Chica,Kunisports,4,1
135,Víctor Sánchez,Los Troncos FC,1,1
135,Javier Saviola,Kunisports,2,1
135,Pol Almellones,Saiyans FC,8,1
135,Ismael Cabello,PIO FC,4,1
135,Antonio Barragán,Jijantes FC,1,1
135,Augusto Fernández,Kunisports,1,1
135,Diego de la Mata,Ultimate Móstoles,2,1
135,Pol Font,Los Troncos FC,1,1
135,Ezequiel Calvente,Aniquiladores FC,1,1
135,Fernandão,Saiyans FC,3,1
135,Gerard Tejedor,Kunisports,1,1
135,David López,Saiyans FC,3,1
135,Frank Martínez,Aniquiladores FC,1,1
