Ranking,Name,Team,PM,Drib
1,Gilles Vidal,Aniquiladores FC,14,84
2,Pablo Beguer,El Barrio,13,50
3,Fran Hernández,Aniquiladores FC,13,39
4,Roger Carbó,Saiyans FC,13,37
4,Alberto Bueno,1K FC,10,37
6,Javi Espinosa,Porcinos FC,12,34
7,Edgar Álvaro,Los Troncos FC,13,33
7,Carlos Corvo,PIO FC,6,33
9,Joan Poch,xBuyer Team,12,31
9,Marc Pluvins,1K FC,10,31
11,Marc Pelaz,Rayo de Barcelona,10,30
11,Juanma González,Ultimate Móstoles,12,30
13,Carlos Torrentbó,Kunisports,12,29
13,Fuad El Amrani,xBuyer Team,7,29
15,Marcos Guerrero,Kunisports,11,26
15,Ferran Corominas,Kunisports,12,26
17,Álvaro Arché,Ultimate Móstoles,12,25
18,Pau Mañé,Aniquiladores FC,10,24
19,Feliu Torrus,Saiyans FC,13,23
20,Iván López 'Cokita',PIO FC,10,22
20,Hugo Fraile,Porcinos FC,10,22
22,Bernat Rovira,Aniquiladores FC,14,21
22,Àlex Gutiérrez,Ultimate Móstoles,10,21
24,Marc Galvany,Aniquiladores FC,12,20
25,Cristian Ubón,El Barrio,13,19
25,Lluís Alsina,Jijantes FC,9,19
27,Noel López,Los Troncos FC,11,18
28,Gabriel Cichero,Porcinos FC,12,17
28,Iván Nuevo,Los Troncos FC,9,17
30,Xavi Garcia,Aniquiladores FC,13,16
30,Joan Verdú,Los Troncos FC,11,16
30,Marc Granero,xBuyer Team,12,16
33,Jacobo Liencres,El Barrio,13,15
33,Pau Fernández,PIO FC,10,15
35,Joselete Blanco,Porcinos FC,12,14
35,Mark Sorroche,1K FC,10,14
35,Jordi Campoy,Aniquiladores FC,1,14
35,Sergio 'Kun' Agüero,Kunisports,3,14
39,Joel Macarulla,Jijantes FC,11,13
39,Franky Purtí,Rayo de Barcelona,10,13
39,Carlos Castro,xBuyer Team,12,13
39,Sergio García,Ultimate Móstoles,6,13
43,Kilian Honorato,Porcinos FC,12,12
43,Xavi Olaechea,El Barrio,10,12
43,Aarón Ropero,PIO FC,10,12
43,Daniel Pérez,Rayo de Barcelona,10,12
43,Oscar Rivero,1K FC,10,12
43,Ibai Gómez,Jijantes FC,6,12
43,Nadir Louah,Aniquiladores FC,9,12
43,Joel Huertas,Jijantes FC,2,12
51,Juan Quero,Jijantes FC,9,11
51,Carlos Val,PIO FC,10,11
53,David López,Porcinos FC,10,10
53,Toti Sàlvia,Porcinos FC,10,10
53,Temo Korkotashvili,Saiyans FC,13,10
53,Roger Bonet,Aniquiladores FC,13,10
53,Raúl Dorado,Jijantes FC,11,10
53,Sergio Sánchez,Los Troncos FC,4,10
53,Dorkis Pérez,Los Troncos FC,13,10
53,Román Alegre,1K FC,10,10
61,Gio Ferinu,Saiyans FC,11,9
61,Álex Campuzano,Saiyans FC,12,9
61,David Alba,Saiyans FC,12,9
61,Goran Ehsan,xBuyer Team,10,9
61,Joel Bañuls,xBuyer Team,12,9
61,Flavio Ruggeri,Kunisports,12,9
67,Raúl Lao,Porcinos FC,12,8
67,Pau 'ZZ' Ruiz,El Barrio,13,8
67,Oriol Boada,El Barrio,11,8
67,Iñaki Villalba,xBuyer Team,12,8
67,Raúl Ledo,1K FC,10,8
67,Dídac Vilà,Rayo de Barcelona,8,8
67,Javi Márquez,PIO FC,3,8
67,Víctor Molina,Los Troncos FC,6,8
